District ID,District Name,Superintendent,County,Enrollment K-3,Pct Change Enroll K-3,Enrollment 4-5,Pct Change Enroll 4-5,Enrollment 6-8,Pct Change Enroll 6-8,Enrollment 9-12,Pct Change Enroll 9-12,Regular Attender Pct K-3,Regular Attender Pct 4-5,Regular Attender Pct 6-8,Regular Attender Pct 9-12,Transferring Into District Pct 2012-13,Tranferring In Pct - 3 Year Avg,Transferring Out of District Pct  2012-13,Transferring Out Pct - 3 Year Avg,Average Class Size K-3,Change in Class Size K-3,Average Class Size 4-5,Change in Class Size 4-5,Highly Qualified Teachers Pct,Ever English Learners Pct K-3,Ever English Learners Pct 4-5,Ever English Learners Pct 6-8,Ever English Learners Pct 9-12,Economically Disadvantaged Pct K-3,Economically Disadvantaged Pct 4-5,Economically Disadvantaged Pct 6-8,Economically Disadvantaged Pct 9-12,Students with Disabilities Pct K-3,Students with Disabilities Pct 4-5,Students with Disabilities Pct 6-8,Students with Disabilities Pct 9-12,Languages Spoken K-3,Languages Spoken 4-5,Languages Spoken 6-8,Languages Spoken 9-12,Asian Student Pct K-3,Asian Student Pct 4-5,Asian Student Pct 6-8,Asian Student Pct 9-12,Black Student Pct K-3,Black Student Pct 4-5,Black Student Pct 6-8,Black Student Pct 9-12,Hispanic Student Pct K-3,Hispanic Student Pct 4-5,Hispanic Student Pct 6-8,Hispanic Student Pct 9-12,American Indian/Alaska Native Student Pct K-3,American Indian/Alaska Native Student Pct 4-5,American Indian/Alaska Native Student Pct 6-8,American Indian/Alaska Native Student Pct 9-12,Multi-racial Student Pct K-3,Multi-racial Student Pct 4-5,Multi-racial Student Pct 6-8,Multi-racial Student Pct 9-12,Pacific Islander Student Pct K-3,Pacific Islander Student Pct 4-5,Pacific Islander Student Pct 6-8,Pacific Islander Student Pct 9-12,White Student Pct K-3,White Student Pct 4-5,White Student Pct 6-8,White Student Pct 9-12,Asian Staff Pct K-3,Asian Staff Pct 4-5,Asian Staff Pct 6-8,Asian Staff Pct 9-12,Black Staff Pct K-3,Black Staff Pct 4-5,Black Staff Pct 6-8,Black Staff Pct 9-12,Hispanic Staff Pct K-3,Hispanic Staff Pct 4-5,Hispanic Staff Pct 6-8,Hispanic Staff Pct 9-12,American Indian/Alaska Native Staff Pct K-3,American Indian/Alaska Native Staff Pct 4-5,American Indian/Alaska Native Staff Pct 6-8,American Indian/Alaska Native Staff Pct 9-12,Multi-racial Staff Pct K-3,Multi-racial Staff Pct 4-5,Multi-racial Staff Pct 6-8,Multi-racial Staff Pct 9-12,Pacific Islander Staff Pct K-3,Pacific Islander Staff Pct 4-5,Pacific Islander Staff Pct 6-8,Pacific Islander Staff Pct 9-12,White Staff Pct K-3,White Staff Pct 4-5,White Staff Pct 6-8,White Staff Pct 9-12,District Per Pupil Spending 2008-09,State Per Pupil Spending 2008-09,District Per Pupil Spending 2009-10,State Per Pupil Spending 2009-10,District Per Pupil Spending 2010-11,State Per Pupil Spending 2010-11,District Per Pupil Spending 2011-12,State Per Pupil Spending 2011-12,Budgeted District Per Pupil Spending 2012-13,Budgeted State Per Pupil Spending 2012-13,Funding Source 2011-12 Pct Local,Funding Source 2011-12 Pct State,Funding Source 2011-12 Pct Federal,Reading Pct Met 2009-10 Gr  3-5,Reading Pct Met 2010-11 Gr 3-5,Reading Pct Met 2011-12 Gr 3-5,Reading Pct Met 2012-13 Gr 3-5,State Reading Pct Met 2012-13 Gr 3-5,Like Districts Reading Pct Met 2012-13 Gr 3-5,Reading Pct Met 2009-10 Gr  6-8,Reading Pct Met 2010-11 Gr 6-8,Reading Pct Met 2011-12 Gr 6-8,Reading Pct Met 2012-13 Gr 6-8,State Reading Pct Met 2012-13 Gr 6-8,Like Districts Reading Pct Met 2012-13 Gr 6-8,Reading Pct Met 2009-10 Gr  11,Reading Pct Met 2010-11 Gr 11,Reading Pct Met 2011-12 Gr 11,Reading Pct Met 2012-13 Gr 11,State Reading Pct Met 2012-13 Gr 11,Like Districts Reading Pct Met 2012-13 Gr 11,Math Pct Met 2009-10 Gr  3-5,Math Pct Met 2010-11 Gr 3-5,Math Pct Met 2011-12 Gr 3-5,Math Pct Met 2012-13 Gr 3-5,State Math Pct Met 2012-13 Gr 3-5,Like Districts Math Pct Met 2012-13 Gr 3-5,Math Pct Met 2009-10 Gr  6-8,Math Pct Met 2010-11 Gr 6-8,Math Pct Met 2011-12 Gr 6-8,Math Pct Met 2012-13 Gr 6-8,State Math Pct Met 2012-13 Gr 6-8,Like Districts Math Pct Met 2012-13 Gr 6-8,Math Pct Met 2009-10 Gr  11,Math Pct Met 2010-11 Gr 11,Math Pct Met 2011-12 Gr 11,Math Pct Met 2012-13 Gr 11,State Math Pct Met 2012-13 Gr 11,Like Districts Math Pct Met 2012-13 Gr 11,Writing Pct Met 2009-10 Gr  11,Writing Pct Met 2010-11 Gr 11,Writing Pct Met 2011-12 Gr 11,Writing Pct Met 2012-13 Gr 11,State Writing Pct Met 2012-13 Gr 11,Like Districts Writing Pct Met 2012-13 Gr 11,Science Pct Met 2009-10 Gr  5,Science Pct Met 2010-11 Gr 5,Science Pct Met 2011-12 Gr 5,Science Pct Met 2012-13 Gr 5,State Science Pct Met 2012-13 Gr 5,Like Districts Science Pct Met 2012-13 Gr 5,Science Pct Met 2009-10 Gr  8,Science Pct Met 2010-11 Gr 8,Science Pct Met 2011-12 Gr 8,Science Pct Met 2012-13 Gr 8,State Science Pct Met 2012-13 Gr 8,Like Districts Science Pct Met 2012-13 Gr 8,Science Pct Met 2009-10 Gr  11,Science Pct Met 2010-11 Gr 11,Science Pct Met 2011-12 Gr 11,Science Pct Met 2012-13 Gr 11,State Science Pct Met 2012-13 Gr 11,Like Districts Science Pct Met 2012-13 Gr 11,Freshmen On Track 2010-11,Freshmen On Track 2011-12,Freshmen On Track 2012-13,SAT Participation 2009-10,SAT Participation 2010-11,SAT Participation 2011-12,SAT Participation 2012-13,State SAT Participation,Like Districts SAT Participation,Four Year Graduation Rate 2008-09,Four Year Graduation Rate 2009-10,Four Year Graduation Rate 2010-11,Four Year Graduation Rate 2011-12,State Four Year Graduation Rate,Like Districts Four Year Graduation Rate,Five Year Completion Rate 2009-10,Five Year Completion Rate 2010-11,Five Year Completion Rate 2011-12,State Five Year Completion Rate,Like Districts Five Year Completion Rate,Dropout Rate 2008-09,Dropout Rate 2009-10,Dropout Rate 2010-11,Dropout Rate 2011-12,State Dropout Rate,Like Districts Dropout Rate,Continuing Education Rate 2008-09,Continuing Education Rate 2009-10,Continuing Education Rate 2010-11,State Continuing Education Rate,Like Districts Continuing Education Rate,Priority Elem School Cnt,Priority Middle School Cnt,Priority High School Cnt,Focus Elem School Cnt,Focus Middle School Cnt,Focus High School Cnt,Model Elem School Cnt,Model Middle School Cnt,Model High School Cnt
2063,Adel SD 21,Alice Hunsaker,Lake,--,--,2,0.0%,5,+66.7%,--,--,*,*,*,*,25.0%,8.3%,12.5%,45.8%,0.0,+0.0,7.0,+4.0,100%,*,*,*,*,*,*,*,*,*,*,*,*,--,1,2,--,,0,0,,,0,0,,,0,60%,,,0,0,,,0,0,,,0,0,,,100%,40%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,100%,100%,100%,$34637,$9392,$31606,$9275,$29267,$9363,$44490,$9366,$41761,$9903,67%,23%,10%,*,*,*,*,71.0,*,*,*,*,*,69.1,*,*,*,*,*,85.7,*,*,*,*,*,62.1,*,*,*,*,*,62.1,*,*,*,*,*,70.1,*,*,*,*,*,61.0,*,*,*,*,*,68.1,*,*,*,*,*,67.1,*,*,*,*,*,64.2,*,*,*,*,--,--,--,--,34.2,--,0.0,--,100.0,50.0,68.4,--,--,--,100.0,80.5,--,0.0,0.0,0.0,0.0,3.4,--,--,--,100.0,61.1,--,0,0,0,0,0,0,0,0,0
2113,Adrian SD 61,Gene Mills,Malheur,74,+1.4%,34,+9.7%,56,-1.8%,64,-24.7%,92%,>95%,91%,85%,2.9%,5.8%,4.2%,5.7%,19.3,+0.3,18.5,+3.0,100%,18%,29%,16%,16%,62%,68%,63%,55%,14%,38%,25%,31%,2,2,2,2,1%,0,0,3%,0,0,0,0,24%,38%,25%,20%,0,0,0,2%,3%,3%,4%,8%,0,0,0,0,72%,59%,71%,67%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,100%,100%,100%,$13051,$9392,$11924,$9275,$12452,$9363,$12663,$9366,$14307,$9903,14%,78%,8%,87.7,76.5,54.2,69.1,71.0,73.3,75.0,85.5,78.9,74.5,69.1,70.0,62.5,81.8,73.9,63.6,85.7,85.2,86.0,72.5,75.0,87.3,62.1,64.9,82.5,74.5,75.4,80.0,62.1,62.1,41.7,50.0,52.2,45.5,70.1,70.1,41.7,68.2,69.6,45.5,61.0,62.3,90.5,>95,>95,93.8,68.1,70.2,75.0,77.8,93.8,88.9,67.1,66.7,79.2,77.3,69.6,36.4,64.2,61.7,>95,>95,>95,34.6,33.3,38.5,42.9,34.2,32.2,95.2,100.0,100.0,95.5,68.4,68.2,95.2,100.0,100.0,80.5,74.8,0.0,0.0,0.0,0.0,3.4,3.7,35.0,68.4,61.1,61.1,64.3,0,0,0,0,0,0,0,0,0
1899,Alsea SD 7J,Marc Thielman,Benton,48,+11.6%,27,+17.4%,37,+32.1%,34,-10.5%,68%,64%,93%,63%,10.0%,7.8%,8.8%,7.2%,20.3,+2.6,21.5,-2.0,96.80%,*,*,*,*,65%,63%,59%,53%,23%,*,*,24%,3,2,1,3,0,0,0,3%,2%,0,0,0,10%,7%,3%,3%,2%,0,0,0,0,0,0,3%,0,0,0,0,85%,93%,97%,91%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,100%,100%,100%,$13470,$9392,$13788,$9275,$12806,$9363,$13995,$9366,$15713,$9903,20%,72%,8%,86.5,76.9,71.0,55.9,71.0,72.7,42.9,73.9,63.0,76.7,69.1,70.8,56.3,69.2,*,69.2,85.7,85.9,89.2,48.7,48.4,44.1,62.1,62.0,50.0,43.5,51.9,53.3,62.1,61.6,25.0,46.2,*,30.8,70.1,69.7,31.3,92.3,*,23.1,61.0,55.3,81.8,68.8,88.9,75.0,68.1,72.9,33.3,62.5,*,40.0,67.1,71.4,56.3,>95,*,33.3,64.2,65.6,92.3,>95,*,40.0,70.0,57.1,44.4,34.2,33.0,61.1,71.4,83.3,81.3,68.4,69.3,76.5,71.4,84.6,80.5,75.6,4.4,0.0,2.3,11.6,3.4,2.5,72.7,40.0,36.4,61.1,57.4,0,0,0,0,0,0,0,0,0
2252,Amity SD 4J,Jeff Clark,Yamhill,243,-0.4%,129,0.0%,202,-2.9%,297,+8.0%,81%,85%,76%,78%,5.2%,5.5%,8.2%,6.8%,24.1,+2.6,25.6,+7.0,100%,8%,8%,8%,5%,55%,59%,45%,36%,7%,12%,17%,12%,3,3,2,4,<1%,0,0,1%,<1%,0,<1%,1%,16%,13%,13%,12%,<1%,2%,<1%,2%,4%,5%,5%,4%,<1%,0,0,0,79%,79%,81%,79%,0,0,0,0,0,0,0,0,0,0,4%,0,0,0,0,0,4%,0,0,8%,4%,5%,0,0,92%,95%,96%,92%,$9384,$9392,$8748,$9275,$8797,$9363,$8786,$9366,$9566,$9903,25%,67%,8%,80.8,81.9,72.4,73.9,71.0,73.6,72.8,73.5,66.5,63.4,69.1,73.0,48.8,71.1,68.3,72.5,85.7,85.1,71.3,56.0,51.4,43.2,62.1,62.2,69.2,50.0,55.3,51.8,62.1,64.5,30.4,50.6,38.3,55.1,70.1,69.5,16.7,57.3,52.5,44.6,61.0,64.4,57.4,52.5,65.6,45.5,68.1,69.9,80.4,73.1,79.7,61.0,67.1,69.4,43.6,57.8,62.3,59.1,64.2,66.4,*,*,89.6,25.8,39.6,23.8,28.6,34.2,33.8,81.4,85.9,77.6,76.2,68.4,65.1,91.2,90.6,87.9,80.5,72.7,0.8,1.4,1.5,0.7,3.4,3.8,48.4,56.1,60.4,61.1,61.5,0,0,0,0,0,0,0,0,0
2111,Annex SD 29,Eric Milburn,Malheur,24,-7.7%,11,+22.2%,12,-33.3%,22,-4.3%,92%,73%,80%,73%,4.8%,9.4%,17.9%,10.7%,10.0,-6.5,12.0,+1.0,100%,29%,*,*,*,63%,*,67%,59%,*,*,*,*,1,1,1,2,0,9%,0,0,0,0,0,0,29%,45%,33%,27%,0,0,0,0,4%,0,17%,0,0,0,0,0,67%,45%,50%,73%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,100%,100%,0,$9564,$9392,$10584,$9275,$9339,$9363,$8639,$9366,$9386,$9903,19%,64%,18%,63.6,68.8,81.8,53.8,71.0,64.8,61.9,70.6,35.3,50.0,69.1,65.5,*,*,*,*,85.7,*,72.7,12.5,54.5,23.1,62.1,58.1,66.7,23.5,23.5,20.0,62.1,61.2,*,*,*,*,70.1,*,*,*,*,*,61.0,*,*,50.0,*,50.0,68.1,62.1,25.0,54.5,*,*,67.1,65.0,*,*,*,*,64.2,*,*,*,*,0.0,0.0,0.0,0.0,34.2,34.2,0.0,100.0,40.0,0.0,68.4,69.8,77.8,100.0,40.0,80.5,76.6,0.0,0.0,6.3,0.0,3.4,3.1,--,36.4,100.0,61.1,57.4,0,0,0,0,0,0,0,0,0
2005,Arlington SD 3,Steve Boynton,Gilliam,52,+26.8%,22,+22.2%,41,+7.9%,34,-8.1%,84%,84%,78%,82%,10.2%,8.1%,10.2%,7.1%,,,,,100%,*,*,*,*,50%,64%,41%,38%,*,*,15%,18%,2,3,3,4,0,0,0,0,0,0,0,0,15%,18%,12%,12%,0,5%,0,3%,4%,5%,5%,0,0,5%,2%,9%,81%,68%,80%,76%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,100%,100%,100%,$17656,$9392,$16533,$9275,$18787,$9363,$23270,$9366,$30868,$9903,96%,2%,1%,80.0,89.5,76.0,71.4,71.0,73.2,61.9,76.9,85.7,64.9,69.1,72.9,42.9,85.7,>95,>95,85.7,84.9,73.3,73.7,68.0,50.0,62.1,60.5,55.0,61.5,60.0,59.5,62.1,63.1,28.6,71.4,83.3,80.0,70.1,67.6,14.3,83.3,*,50.0,61.0,63.1,85.7,75.0,*,57.1,68.1,69.0,77.8,66.7,*,31.6,67.1,69.8,42.9,85.7,*,20.0,64.2,65.8,*,*,83.3,23.1,50.0,37.5,22.2,34.2,31.6,90.0,75.0,83.3,62.5,68.4,62.9,100.0,91.7,88.9,80.5,70.7,2.4,2.4,0.0,0.0,3.4,4.4,66.7,40.0,46.7,61.1,60.8,0,0,0,0,0,0,0,0,0
2115,Arock SD 81,Vicki McConnell,Malheur,4,+100.0%,2,-33.3%,4,0.0%,--,--,*,*,*,*,0.0%,0.0%,0.0%,0.0%,4.0,+0.0,6.0,+1.5,100%,*,*,*,*,*,*,*,*,*,*,*,*,1,1,1,--,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,100%,100%,100%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,100%,100%,0,$21652,$9392,$22282,$9275,$26546,$9363,$25827,$9366,$28156,$9903,59%,37%,5%,*,*,*,*,71.0,*,*,*,*,*,69.1,*,*,*,*,*,85.7,*,*,*,*,*,62.1,*,*,*,*,*,62.1,*,*,*,*,*,70.1,*,*,*,*,*,61.0,*,*,*,*,*,68.1,*,*,*,*,*,67.1,*,*,*,*,*,64.2,*,*,*,*,--,--,--,--,34.2,--,--,--,--,--,68.4,--,--,--,--,80.5,--,--,--,--,--,3.4,--,--,--,--,61.1,--,0,0,0,0,0,0,0,0,0
2041,Ashland SD 5,Jay Hummel,Jackson,720,+10.6%,394,-5.3%,646,+7.1%,967,-4.4%,85%,85%,80%,74%,4.7%,4.7%,5.7%,7.0%,23.8,+1.1,25.1,-0.6,89.10%,<5%,<5%,<5%,<5%,17%,30%,35%,27%,14%,15%,15%,11%,7,7,11,11,1%,3%,2%,4%,1%,2%,2%,2%,8%,6%,7%,6%,1%,1%,1%,2%,9%,4%,5%,5%,<1%,1%,0,1%,79%,84%,83%,81%,2%,2%,0,3%,0,0,0,0,4%,5%,2%,3%,0,0,0,0,2%,0,0,0,0,0,0,0,93%,93%,98%,93%,$9529,$9392,$8758,$9275,$9837,$9363,$9692,$9366,$10336,$9903,57%,34%,9%,90.4,89.2,85.5,84.7,71.0,82.7,90.2,87.6,86.1,84.2,69.1,81.1,92.4,>95,>95,>95,85.7,93.4,87.9,74.1,75.8,76.1,62.1,75.6,91.9,79.7,79.1,75.8,62.1,74.1,77.6,88.0,78.4,84.3,70.1,82.7,75.6,85.1,87.1,79.7,61.0,74.2,88.0,93.8,84.1,81.5,68.1,84.2,88.6,87.1,79.1,83.2,67.1,79.3,75.3,85.1,73.1,77.0,64.2,80.8,*,*,*,57.5,64.8,63.9,58.0,34.2,57.0,80.3,86.4,90.9,85.8,68.4,86.7,94.8,96.0,95.5,80.5,91.0,1.7,1.2,1.2,2.0,3.4,0.7,68.0,73.6,68.5,61.1,74.6,0,0,0,0,0,0,1,0,0
2051,Ashwood SD 8,Mary Lewis,Jefferson,2,0.0%,3,0.0%,--,--,--,--,*,*,*,*,20.0%,13.3%,0.0%,0.0%,5.0,+3.0,5.0,+3.5,100%,*,*,*,*,*,*,*,*,*,*,*,*,1,1,--,--,0,0,,,0,0,,,100%,33%,,,0,0,,,0,0,,,0,0,,,0,67%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,100%,0,0,$170211,$9392,$84994,$9275,$39445,$9363,$38273,$9366,$100288,$9903,1%,99%,0%,*,*,*,*,71.0,*,*,*,*,*,69.1,*,*,*,*,*,85.7,*,*,*,*,*,62.1,*,*,*,*,*,62.1,*,*,*,*,*,70.1,*,*,*,*,*,61.0,*,*,*,*,*,68.1,*,*,*,*,*,67.1,*,*,*,*,*,64.2,*,*,*,*,--,--,--,--,34.2,--,--,--,--,--,68.4,--,--,--,--,80.5,--,--,--,--,0.0,3.4,--,--,--,--,61.1,--,0,0,0,0,0,0,0,0,0
1933,Astoria SD 1,Craig Hoppes,Clatsop,582,+2.5%,279,+3.0%,426,-6.4%,596,+0.5%,80%,85%,89%,89%,5.7%,5.5%,7.1%,7.3%,22.9,-0.9,27.1,+3.0,100%,11%,10%,10%,5%,59%,58%,53%,49%,14%,13%,16%,14%,5,2,5,5,1%,1%,2%,1%,<1%,1%,0,<1%,21%,16%,16%,12%,1%,1%,1%,1%,2%,4%,4%,4%,<1%,0,1%,<1%,74%,77%,76%,82%,2%,5%,3%,2%,0,0,0,0,0,0,3%,0,0,0,0,0,0,5%,0,0,0,0,0,0,98%,91%,94%,98%,$9915,$9392,$9879,$9275,$9778,$9363,$8822,$9366,$10619,$9903,43%,49%,9%,77.3,91.0,92.8,82.5,71.0,71.3,73.7,75.2,65.9,77.0,69.1,67.2,73.6,81.8,84.1,91.9,85.7,86.4,72.8,70.7,91.3,76.0,62.1,62.8,70.7,50.0,48.2,60.4,62.1,59.4,40.9,59.4,59.9,72.6,70.1,71.0,39.9,54.1,72.8,72.2,61.0,64.4,59.6,58.9,60.8,56.8,68.1,68.8,73.8,51.6,63.9,67.1,67.1,65.2,41.9,67.4,56.5,50.7,64.2,67.2,*,*,75.9,46.1,45.1,52.5,52.7,34.2,35.8,62.4,65.9,60.5,59.8,68.4,67.7,73.9,78.4,69.9,80.5,74.8,3.5,5.0,3.5,4.6,3.4,2.9,64.6,66.7,60.8,61.1,59.4,0,0,0,0,0,0,1,0,0
