District ID,District Name,Superintendent,County,Enrollment K-3,Pct Change Enroll K-3,Enrollment 4-5,Pct Change Enroll 4-5,Enrollment 6-8,Pct Change Enroll 6-8,Enrollment 9-12,Pct Change Enroll 9-12,Regular Attender Pct K-3,Regular Attender Pct 4-5,Regular Attender Pct 6-8,Regular Attender Pct 9-12,Transferring Into District Pct 2013-14,Tranferring In Pct - 3 Year Avg,Transferring Out of District Pct  2013-14,Transferring Out Pct - 3 Year Avg,Average Class Size K-3,Average Class Size 4-5,Highly Qualified Teachers Pct,Ever English Learners Pct K-3,Ever English Learners Pct 4-5,Ever English Learners Pct 6-8,Ever English Learners Pct 9-12,Economically Disadvantaged Pct K-3,Economically Disadvantaged Pct 4-5,Economically Disadvantaged Pct 6-8,Economically Disadvantaged Pct 9-12,Students with Disabilities Pct K-3,Students with Disabilities Pct 4-5,Students with Disabilities Pct 6-8,Students with Disabilities Pct 9-12,Languages Spoken K-3,Languages Spoken 4-5,Languages Spoken 6-8,Languages Spoken 9-12,Asian Student Pct K-3,Asian Student Pct 4-5,Asian Student Pct 6-8,Asian Student Pct 9-12,Black Student Pct K-3,Black Student Pct 4-5,Black Student Pct 6-8,Black Student Pct 9-12,Hispanic Student Pct K-3,Hispanic Student Pct 4-5,Hispanic Student Pct 6-8,Hispanic Student Pct 9-12,American Indian/Alaska Native Student Pct K-3,American Indian/Alaska Native Student Pct 4-5,American Indian/Alaska Native Student Pct 6-8,American Indian/Alaska Native Student Pct 9-12,Multi-racial Student Pct K-3,Multi-racial Student Pct 4-5,Multi-racial Student Pct 6-8,Multi-racial Student Pct 9-12,Pacific Islander Student Pct K-3,Pacific Islander Student Pct 4-5,Pacific Islander Student Pct 6-8,Pacific Islander Student Pct 9-12,White Student Pct K-3,White Student Pct 4-5,White Student Pct 6-8,White Student Pct 9-12,Asian Staff Pct K-3,Asian Staff Pct 4-5,Asian Staff Pct 6-8,Asian Staff Pct 9-12,Black Staff Pct K-3,Black Staff Pct 4-5,Black Staff Pct 6-8,Black Staff Pct 9-12,Hispanic Staff Pct K-3,Hispanic Staff Pct 4-5,Hispanic Staff Pct 6-8,Hispanic Staff Pct 9-12,American Indian/Alaska Native Staff Pct K-3,American Indian/Alaska Native Staff Pct 4-5,American Indian/Alaska Native Staff Pct 6-8,American Indian/Alaska Native Staff Pct 9-12,Multi-racial Staff Pct K-3,Multi-racial Staff Pct 4-5,Multi-racial Staff Pct 6-8,Multi-racial Staff Pct 9-12,Pacific Islander Staff Pct K-3,Pacific Islander Staff Pct 4-5,Pacific Islander Staff Pct 6-8,Pacific Islander Staff Pct 9-12,White Staff Pct K-3,White Staff Pct 4-5,White Staff Pct 6-8,White Staff Pct 9-12,District Per Pupil Spending 2009-10,State Per Pupil Spending 2009-10,District Per Pupil Spending 2010-11,State Per Pupil Spending 2010-11,District Per Pupil Spending 2011-12,State Per Pupil Spending 2011-12,District Per Pupil Spending 2012-13,State Per Pupil Spending 2012-13,Budgeted District Per Pupil Spending 2013-14,Budgeted State Per Pupil Spending 2013-14,Funding Source 2012-13 Pct Local,Funding Source 2012-13 Pct State,Funding Source 2012-13 Pct Federal,Reading Pct Met 2010-11 Gr  3-5,Reading Pct Met 2011-12 Gr 3-5,Reading Pct Met 2012-13 Gr 3-5,Reading Pct Met 2013-14 Gr 3-5,State Reading Pct Met 2013-14 Gr 3-5,Like Districts Reading Pct Met 2013-14 Gr 3-5,Reading Pct Met 2010-11 Gr  6-8,Reading Pct Met 2011-12 Gr 6-8,Reading Pct Met 2012-13 Gr 6-8,Reading Pct Met 2013-14 Gr 6-8,State Reading Pct Met 2013-14 Gr 6-8,Like Districts Reading Pct Met 2013-14 Gr 6-8,Reading Pct Met 2010-11 Gr  11,Reading Pct Met 2011-12 Gr 11,Reading Pct Met 2012-13 Gr 11,Reading Pct Met 2013-14 Gr 11,State Reading Pct Met 2013-14 Gr 11,Like Districts Reading Pct Met 2013-14 Gr 11,Math Pct Met 2010-11 Gr  3-5,Math Pct Met 2011-12 Gr 3-5,Math Pct Met 2012-13 Gr 3-5,Math Pct Met 2013-14 Gr 3-5,State Math Pct Met 2013-14 Gr 3-5,Like Districts Math Pct Met 2013-14 Gr 3-5,Math Pct Met 2010-11 Gr  6-8,Math Pct Met 2011-12 Gr 6-8,Math Pct Met 2012-13 Gr 6-8,Math Pct Met 2013-14 Gr 6-8,State Math Pct Met 2013-14 Gr 6-8,Like Districts Math Pct Met 2013-14 Gr 6-8,Math Pct Met 2010-11 Gr  11,Math Pct Met 2011-12 Gr 11,Math Pct Met 2012-13 Gr 11,Math Pct Met 2013-14 Gr 11,State Math Pct Met 2013-14 Gr 11,Like Districts Math Pct Met 2013-14 Gr 11,Writing Pct Met 2010-11 Gr  11,Writing Pct Met 2011-12 Gr 11,Writing Pct Met 2012-13 Gr 11,Writing Pct Met 2013-14 Gr 11,State Writing Pct Met 2013-14 Gr 11,Like Districts Writing Pct Met 2013-14 Gr 11,Science Pct Met 2010-11 Gr  5,Science Pct Met 2011-12 Gr 5,Science Pct Met 2012-13 Gr 5,Science Pct Met 2013-14 Gr 5,State Science Pct Met 2013-14 Gr 5,Like Districts Science Pct Met 2013-14 Gr 5,Science Pct Met 2010-11 Gr  8,Science Pct Met 2011-12 Gr 8,Science Pct Met 2012-13 Gr 8,Science Pct Met 2013-14 Gr 8,State Science Pct Met 2013-14 Gr 8,Like Districts Science Pct Met 2013-14 Gr 8,Science Pct Met 2010-11 Gr  11,Science Pct Met 2011-12 Gr 11,Science Pct Met 2012-13 Gr 11,Science Pct Met 2013-14 Gr 11,State Science Pct Met 2013-14 Gr 11,Like Districts Science Pct Met 2013-14 Gr 11,Freshmen On Track 2013-14,State Freshman On Track,Like District Freshman On Track,SAT Participation 2010-11,SAT Participation 2011-12,SAT Participation 2012-13,SAT Participation 2013-14,State SAT Participation,Like Districts SAT Participation,Four Year Graduation Rate 2009-10,Four Year Graduation Rate 2010-11,Four Year Graduation Rate 2011-12,Four Year Graduation Rate 2012-13,State Four Year Graduation Rate,Like Districts Four Year Graduation Rate,Five Year Completion Rate 2009-10,Five Year Completion Rate 2010-11,Five Year Completion Rate 2011-12,Five Year Completion Rate 2012-13,State Five Year Completion Rate,Like Districts Five Year Completion Rate,Dropout Rate 2009-10,Dropout Rate 2010-11,Dropout Rate 2011-12,Dropout Rate 2012-13,State Dropout Rate,Like Districts Dropout Rate,Continuing Education Rate 2008-9,Continuing Education Rate 2009-10,Continuing Education Rate 2010-11,Continuing Education Rate 2011-12,State Continuing Education Rate,Like Districts Continuing Education Rate,Priority Elem School Cnt,Priority Middle School Cnt,Priority High School Cnt,Focus Elem School Cnt,Focus Middle School Cnt,Focus High School Cnt,Model Elem School Cnt,Model Middle School Cnt,Model High School Cnt
2063,Adel SD 21,Bob Nash,Lake,--,--,2,0.0%,6,+20.0%,--,--,*,*,*,*,25.0%,16.7%,0.0%,16.7%,0.0,7.0,100%,*,*,*,*,*,*,*,*,*,*,*,*,--,--,2,--,,0,0,,,0,0,,,0,50%,,,0,0,,,0,0,,,0,0,,,100%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$31606,$9275,$29267,$9363,$44490,$9366,$34378,$9327,$43336,$10256,88%,2%,10%,*,*,*,*,70.5,*,*,*,*,*,69.7,*,*,*,*,*,85.6,*,*,*,*,*,62.0,*,*,*,*,*,62.2,*,*,*,*,*,71.3,*,*,*,*,*,61.3,*,*,*,*,*,69.8,*,*,*,*,*,66.9,*,*,*,*,*,63.1,*,*,78.5,--,--,--,--,0.0,33.3,--,--,100.0,50.0,100.0,68.7,--,--,--,100.0,100.0,81.5,--,0.0,0.0,0.0,0.0,4.0,--,--,--,100.0,50.0,54.7,--,0,0,0,0,0,0,0,0,0
2113,Adrian SD 61,Gene Mills,Malheur,77,+4.1%,39,+14.7%,50,-10.7%,69,+7.8%,>95%,94.6%,90.0%,94.1%,4.5%,3.1%,4.1%,4.7%,19.3,18.5,100%,16%,21%,22%,23%,60%,67%,54%,49%,10%,18%,22%,22%,2,2,2,2,1%,0,0,7%,0,0,0,0,29%,28%,30%,19%,0,0,0,4%,4%,3%,4%,6%,0,0,0,0,66%,69%,66%,64%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$11924,$9275,$12452,$9363,$12663,$9366,$13437,$9327,$14550,$10256,15%,77%,7%,76.5,54.2,69.1,79.6,70.5,70.0,85.5,78.9,74.5,80.0,69.7,69.7,81.8,73.9,63.6,77.8,85.6,85.1,72.5,75.0,87.3,79.6,62.0,63.0,74.5,75.4,80.0,88.0,62.2,62.2,50.0,52.2,45.5,77.8,71.3,70.1,68.2,69.6,45.5,72.2,61.3,61.3,>95,>95,93.8,93.3,69.8,69.2,77.8,93.8,88.9,90.0,66.9,63.8,77.3,69.6,36.4,77.8,63.1,63.4,>95,78.5,77.5,33.3,38.5,42.9,64.3,33.3,34.0,100.0,100.0,95.5,78.3,68.7,72.3,95.2,100.0,100.0,100.0,81.5,78.1,0.0,0.0,0.0,3.0,4.0,3.5,35.0,68.4,61.1,52.4,54.7,61.0,0,0,0,0,0,0,0,0,0
1899,Alsea SD 7J,Marc Thielman,Benton,53,+10.4%,19,-29.6%,40,+8.1%,44,+29.4%,76.1%,73.7%,87.2%,48.8%,7.8%,7.8%,6.0%,7.8%,20.3,21.5,100%,*,*,*,*,68%,58%,58%,52%,23%,*,*,25%,2,2,1,1,0,0,0,0,0,5%,0,0,9%,5%,5%,0,0,0,0,0,0,0,0,2%,0,0,0,0,91%,89%,95%,98%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$13788,$9275,$12806,$9363,$13995,$9366,$15499,$9327,$16955,$10256,18%,71%,11%,76.9,71.0,55.9,50.0,70.5,74.3,73.9,63.0,76.7,68.4,69.7,71.2,69.2,*,69.2,85.7,85.6,88.1,48.7,48.4,44.1,42.9,62.0,63.5,43.5,51.9,53.3,57.9,62.2,57.8,46.2,*,30.8,83.3,71.3,74.3,92.3,*,23.1,71.4,61.3,62.9,68.8,88.9,75.0,42.9,69.8,78.7,62.5,*,40.0,81.8,66.9,72.4,>95,*,33.3,83.3,63.1,73.0,>95,78.5,81.1,70.0,57.1,44.4,6.7,33.3,37.5,71.4,83.3,81.3,77.8,68.7,74.3,76.5,71.4,84.6,93.8,81.5,80.2,0.0,2.3,11.6,0.0,4.0,3.3,72.7,40.0,36.4,53.8,54.7,58.8,0,0,0,0,0,0,0,0,0
2252,Amity SD 4J,Jeff Clark,Yamhill,254,+4.5%,126,-2.3%,209,+3.5%,295,-0.7%,80.2%,83.3%,77.6%,80.2%,5.0%,5.9%,7.8%,7.1%,24.1,25.6,98.30%,9%,6%,9%,6%,59%,60%,49%,34%,6%,17%,13%,14%,3,3,2,6,1%,0,0,1%,1%,1%,<1%,1%,17%,13%,14%,13%,1%,2%,1%,2%,4%,5%,5%,4%,<1%,0,0,0,77%,79%,79%,79%,5%,,,,,,,,,,5%,,,,,,5%,,,4%,,,,,90%,100%,95%,96%,$8748,$9275,$8797,$9363,$8786,$9366,$8448,$9327,$10904,$10256,25%,68%,8%,81.9,72.4,73.9,63.8,70.5,74.8,73.5,66.5,63.4,65.7,69.7,73.2,71.1,68.3,72.5,77.9,85.6,87.2,56.0,51.4,43.2,50.5,62.0,63.7,50.0,55.3,51.8,49.5,62.2,63.8,50.6,38.3,55.1,43.3,71.3,69.1,57.3,52.5,44.6,50.7,61.3,62.3,52.5,65.6,45.5,56.7,69.8,75.9,73.1,79.7,61.0,76.7,66.9,73.5,57.8,62.3,59.1,55.9,63.1,68.3,79.1,78.5,79.7,39.6,23.8,28.6,32.4,33.3,38.2,85.9,77.6,76.2,75.3,68.7,71.1,91.2,90.6,87.9,88.0,81.5,78.4,1.4,1.5,0.7,4.5,4.0,3.3,48.4,56.1,60.4,51.4,54.7,56.0,0,0,0,0,0,0,0,0,0
2111,Annex SD 29,Steve Bishop,Malheur,34,+41.7%,10,-9.1%,16,+33.3%,18,-18.2%,>95%,88.9%,92.9%,82.4%,12.5%,8.4%,11.4%,14.1%,10.0,12.0,100%,29%,60%,*,33%,88%,90%,75%,78%,*,*,*,*,1,1,1,2,0,0,6%,0,0,0,0,0,32%,70%,25%,44%,0,0,0,0,3%,0,6%,0,0,0,0,0,65%,30%,63%,56%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,,$10584,$9275,$9339,$9363,$8639,$9366,$8988,$9327,$12481,$10256,22%,63%,15%,68.8,81.8,53.8,41.2,70.5,59.1,70.6,35.3,50.0,42.9,69.7,61.4,*,*,*,*,85.6,*,12.5,54.5,23.1,35.3,62.0,51.4,23.5,23.5,20.0,14.3,62.2,57.7,*,*,*,*,71.3,*,*,*,*,*,61.3,*,50.0,*,50.0,*,69.8,56.4,54.5,*,*,25.0,66.9,57.8,*,*,*,*,63.1,*,*,78.5,73.5,0.0,0.0,0.0,0.0,33.3,30.0,100.0,40.0,0.0,0.0,68.7,69.4,77.8,100.0,40.0,0.0,81.5,75.0,0.0,6.3,0.0,7.1,4.0,3.6,--,36.4,100.0,--,54.7,--,0,0,0,0,0,0,0,0,0
2005,Arlington SD 3,Steve Boynton,Gilliam,47,-9.6%,20,-9.1%,31,-24.4%,45,+32.4%,82.2%,95.0%,70.0%,79.5%,5.5%,8.7%,12.3%,8.3%,,,97.00%,*,*,*,*,43%,60%,48%,49%,13%,*,26%,*,2,2,2,4,0,0,0,0,0,0,0,0,11%,15%,16%,16%,2%,5%,0,2%,4%,0,6%,2%,0,0,0,4%,83%,80%,77%,76%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$16533,$9275,$18787,$9363,$23270,$9366,$18608,$9327,$18182,$10256,97%,1%,3%,89.5,76.0,71.4,59.4,70.5,75.1,76.9,85.7,64.9,80.0,69.7,73.9,85.7,>95,>95,91.7,85.6,86.1,73.7,68.0,50.0,37.5,62.0,64.5,61.5,60.0,59.5,70.0,62.2,65.1,71.4,83.3,80.0,66.7,71.3,71.6,83.3,*,50.0,72.7,61.3,62.5,75.0,*,57.1,*,69.8,*,66.7,*,31.6,*,66.9,72.1,85.7,*,20.0,85.7,63.1,63.4,>95,78.5,77.1,50.0,37.5,22.2,72.7,33.3,35.5,75.0,83.3,62.5,71.4,68.7,67.8,100.0,91.7,88.9,85.7,81.5,74.2,2.4,0.0,0.0,7.1,4.0,4.4,66.7,40.0,46.7,50.0,54.7,58.1,0,0,0,0,0,0,0,0,0
2115,Arock SD 81,Vicki McConnell,Malheur,4,0.0%,2,0.0%,4,0.0%,--,--,*,*,*,*,20.0%,0.0%,0.0%,0.0%,4.0,6.0,100%,*,*,*,*,*,*,*,*,*,*,*,*,1,1,1,--,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,,$22282,$9275,$26546,$9363,$25827,$9366,$26534,$9327,$41220,$10256,29%,64%,7%,*,*,*,*,70.5,*,*,*,*,*,69.7,*,*,*,*,*,85.6,*,*,*,*,*,62.0,*,*,*,*,*,62.2,*,*,*,*,*,71.3,*,*,*,*,*,61.3,*,*,*,*,*,69.8,*,*,*,*,*,66.9,*,*,*,*,*,63.1,*,*,78.5,--,--,--,--,0.0,33.3,--,--,--,--,--,68.7,--,--,--,--,--,81.5,--,--,--,--,--,4.0,--,--,--,--,--,54.7,--,0,0,0,0,0,0,0,0,0
2041,Ashland SD 5,Jay Hummel,Jackson,722,+0.3%,367,-6.9%,669,+3.6%,974,+0.7%,90.2%,85.4%,84.5%,77.2%,4.0%,4.9%,5.3%,6.1%,23.8,25.1,88.10%,<5%,<5%,<5%,<5%,40%,40%,36%,32%,12%,17%,15%,12%,7,7,9,14,1%,2%,3%,3%,1%,2%,3%,2%,8%,8%,7%,7%,1%,<1%,1%,2%,10%,6%,5%,7%,<1%,<1%,<1%,1%,78%,81%,81%,79%,,,,,,,,,3%,4%,4%,6%,,,,,3%,2%,,4%,,,,,93%,93%,96%,90%,$8758,$9275,$9837,$9363,$9692,$9366,$9750,$9327,$10580,$10256,58%,34%,8%,89.2,85.5,84.7,85.1,70.5,79.1,87.6,86.1,84.2,84.3,69.7,75.7,>95,>95,>95,>95,85.6,87.9,74.1,75.8,76.1,78.7,62.0,71.0,79.7,79.1,75.8,77.3,62.2,66.1,88.0,78.4,84.3,85.8,71.3,77.8,85.1,87.1,79.7,77.7,61.3,69.2,93.8,84.1,81.5,86.7,69.8,83.8,87.1,79.1,83.2,87.5,66.9,76.9,85.1,73.1,77.0,72.3,63.1,77.0,93.2,78.5,84.7,64.8,63.9,58.0,57.5,33.3,50.9,86.4,90.9,85.8,83.0,68.7,84.8,94.8,96.0,95.5,94.7,81.5,87.9,1.2,1.2,2.0,1.9,4.0,2.1,68.0,73.6,68.5,71.2,54.7,65.9,0,0,0,0,0,0,2,0,0
2051,Ashwood SD 8,Mary Lewis,Jefferson,1,-50.0%,1,-66.7%,--,--,--,--,*,*,*,*,0.0%,16.7%,50.0%,0.0%,5.0,5.0,100%,*,*,*,*,*,*,*,*,*,*,*,*,1,1,--,--,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,,$84994,$9275,$39445,$9363,$38273,$9366,$68722,$9327,$91468,$10256,1%,98%,1%,*,*,*,*,70.5,*,*,*,*,*,69.7,*,*,*,*,*,85.6,*,*,*,*,*,62.0,*,*,*,*,*,62.2,*,*,*,*,*,71.3,*,*,*,*,*,61.3,*,*,*,*,*,69.8,*,*,*,*,*,66.9,*,*,*,*,*,63.1,*,*,78.5,--,--,--,--,0.0,33.3,--,--,--,--,--,68.7,--,--,--,--,--,81.5,--,--,--,0.0,0.0,4.0,--,--,--,--,--,54.7,--,0,0,0,0,0,0,0,0,0
1933,Astoria SD 1,Craig Hoppes,Clatsop,574,-1.4%,279,0.0%,425,-0.2%,568,-4.7%,82.0%,88.4%,91.2%,90.8%,3.6%,5.3%,6.9%,6.9%,22.9,27.1,94.80%,10%,11%,9%,5%,56%,54%,49%,39%,15%,18%,16%,15%,6,2,3,5,1%,2%,1%,2%,<1%,<1%,0,<1%,18%,20%,15%,13%,1%,2%,<1%,1%,3%,4%,5%,4%,1%,<1%,1%,<1%,76%,72%,78%,80%,,6%,,3%,,,,,,,7%,3%,,,,,,6%,,,,,,,100%,89%,93%,95%,$9879,$9275,$9778,$9363,$8822,$9366,$8990,$9327,$11117,$10256,46%,45%,9%,91.0,92.8,82.5,78.6,70.5,71.9,75.2,65.9,77.0,76.2,69.7,68.7,81.8,84.1,91.9,90.8,85.6,86.7,70.7,91.3,76.0,71.0,62.0,60.7,50.0,48.2,60.4,69.5,62.2,58.0,59.4,59.9,72.6,70.5,71.3,65.1,54.1,72.8,72.2,72.6,61.3,60.1,58.9,60.8,56.8,78.8,69.8,72.2,51.6,63.9,67.1,71.5,66.9,67.7,67.4,56.5,50.7,37.0,63.1,67.5,79.5,78.5,77.8,45.1,52.5,52.7,46.8,33.3,31.5,65.9,60.5,59.8,69.2,68.7,67.9,73.9,78.4,69.9,67.9,81.5,74.7,5.0,3.5,4.6,3.9,4.0,4.9,64.6,66.7,60.8,62.4,54.7,53.1,0,0,0,0,0,0,0,0,0
