District ID,District Name,Superintendent,County,Enrollment K-3,Enrollment 4-5,Enrollment 6-8,Enrollment 9-12,Pct Mobile Students K-3,Pct Mobile Students 4-5,Pct Mobile Students 6-8,Pct Mobile Students 9-12,Regular Attender Pct K-3,Regular Attender Pct 4-5,Regular Attender Pct 6-8,Regular Attender Pct 9-12,District Elementary Self-Contained Class Size,Oregon Elementary Self-Contained Class Size,District Elementary ELA Class Size,Oregon Elementary ELA Class Size,District Elementary Math Class Size,Oregon Elementary Math Class Size,District Elementary Science Class Size,Oregon Elementary Science Class Size,District Elementary Social Studies Class Size,Oregon Elementary Social Studies Class Size,District Middle Self-Contained Class Size,Oregon Middle Self-Contained Class Size,District Middle ELA Class Size,Oregon Middle ELA Class Size,District Middle Math Class Size,Oregon Middle Math Class Size,District Middle Science Class Size,Oregon Middle Science Class Size,District Middle Social Studies Class Size,Oregon Middle Social Studies Class Size,District High Self-Contained Class Size,Oregon High Self-Contained Class Size,District High ELA Class Size,Oregon High ELA Class Size,District High Math Class Size,Oregon High Math Class Size,District High Science Class Size,Oregon High Science Class Size,District High Social Studies Class Size,Oregon High Social Studies Class Size,District Combined Self-Contained Class Size,Oregon Combined Self-Contained Class Size,District Combined ELA Class Size,Oregon Combined ELA Class Size,District Combined Math Class Size,Oregon Combined Math Class Size,District Combined Science Class Size,Oregon Combined Science Class Size,District Combined Social Studies Class Size,Oregon Combined Social Studies Class Size,Highly Qualified Teachers Pct,Ever English Learners Pct K-3,Ever English Learners Pct 4-5,Ever English Learners Pct 6-8,Ever English Learners Pct 9-12,Economically Disadvantaged Pct K-3,Economically Disadvantaged Pct 4-5,Economically Disadvantaged Pct 6-8,Economically Disadvantaged Pct 9-12,Students with Disabilities Pct K-3,Students with Disabilities Pct 4-5,Students with Disabilities Pct 6-8,Students with Disabilities Pct 9-12,Languages Spoken K-3,Languages Spoken 4-5,Languages Spoken 6-8,Languages Spoken 9-12,Asian Student Pct K-3,Asian Student Pct 4-5,Asian Student Pct 6-8,Asian Student Pct 9-12,Black Student Pct K-3,Black Student Pct 4-5,Black Student Pct 6-8,Black Student Pct 9-12,Hispanic Student Pct K-3,Hispanic Student Pct 4-5,Hispanic Student Pct 6-8,Hispanic Student Pct 9-12,American Indian/Alaska Native Student Pct K-3,American Indian/Alaska Native Student Pct 4-5,American Indian/Alaska Native Student Pct 6-8,American Indian/Alaska Native Student Pct 9-12,Multi-racial Student Pct K-3,Multi-racial Student Pct 4-5,Multi-racial Student Pct 6-8,Multi-racial Student Pct 9-12,Pacific Islander Student Pct K-3,Pacific Islander Student Pct 4-5,Pacific Islander Student Pct 6-8,Pacific Islander Student Pct 9-12,White Student Pct K-3,White Student Pct 4-5,White Student Pct 6-8,White Student Pct 9-12,Asian Staff Pct K-3,Asian Staff Pct 4-5,Asian Staff Pct 6-8,Asian Staff Pct 9-12,Black Staff Pct K-3,Black Staff Pct 4-5,Black Staff Pct 6-8,Black Staff Pct 9-12,Hispanic Staff Pct K-3,Hispanic Staff Pct 4-5,Hispanic Staff Pct 6-8,Hispanic Staff Pct 9-12,American Indian/Alaska Native Staff Pct K-3,American Indian/Alaska Native Staff Pct 4-5,American Indian/Alaska Native Staff Pct 6-8,American Indian/Alaska Native Staff Pct 9-12,Multi-racial Staff Pct K-3,Multi-racial Staff Pct 4-5,Multi-racial Staff Pct 6-8,Multi-racial Staff Pct 9-12,Pacific Islander Staff Pct K-3,Pacific Islander Staff Pct 4-5,Pacific Islander Staff Pct 6-8,Pacific Islander Staff Pct 9-12,White Staff Pct K-3,White Staff Pct 4-5,White Staff Pct 6-8,White Staff Pct 9-12,District Per Pupil Spending 2013-14,State Per Pupil Spending 2013-14,Budgeted District Per Pupil Spending 2014-15,Budgeted State Per Pupil Spending 2014-15,Funding Source 2013-14 Pct Local,Funding Source 2013-14 Pct State,Funding Source 2013-14 Pct Federal,ELA Pct Met 2014-15 Gr 3-5,State ELA Pct Met 2014-15 Gr 3-5,Like Districts ELA Pct Met 2014-15 Gr 3-5,ELA Pct Met 2014-15 Gr 6-8,State ELA Pct Met 2014-15 Gr 6-8,Like Districts ELA Pct Met 2014-15 Gr 6-8,ELA Pct Met 2014-15 Gr 11,State ELA Pct Met 2014-15 Gr 11,Like Districts ELA Pct Met 2014-15 Gr 11,Math Pct Met 2014-15 Gr 3-5,State Math Pct Met 2014-15 Gr 3-5,Like Districts Math Pct Met 2014-15 Gr 3-5,Math Pct Met 2014-15 Gr 6-8,State Math Pct Met 2014-15 Gr 6-8,Like Districts Math Pct Met 2014-15 Gr 6-8,Math Pct Met 2014-15 Gr 11,State Math Pct Met 2014-15 Gr 11,Like Districts Math Pct Met 2014-15 Gr 11,Science Pct Met 2011-12 Gr  5,Science Pct Met 2012-13 Gr 5,Science Pct Met 2013-14 Gr 5,Science Pct Met 2014-15 Gr 5,State Science Pct Met 2014-15 Gr 5,Like Districts Science Pct Met 2014-15 Gr 5,Science Pct Met 2011-12 Gr  8,Science Pct Met 2012-13 Gr 8,Science Pct Met 2013-14 Gr 8,Science Pct Met 2014-15 Gr 8,State Science Pct Met 2014-15 Gr 8,Like Districts Science Pct Met 2014-15 Gr 8,Science Pct Met 2011-12 Gr  11,Science Pct Met 2012-13 Gr 11,Science Pct Met 2013-14 Gr 11,Science Pct Met 2014-15 Gr 11,State Science Pct Met 2014-15 Gr 11,Like Districts Science Pct Met 2014-15 Gr 11,Freshmen On Track 2014-15,Freshmen On Track 2013-14,State Freshman On Track,Like District Freshman On Track,SAT Participation 2011-12,SAT Participation 2012-13,SAT Participation 2013-14,SAT Participation 2014-15,State SAT Participation,Like Districts SAT Participation,Four Year Graduation Rate 2010-11,Four Year Graduation Rate 2011-12,Four Year Graduation Rate 2012-13,Four Year Graduation Rate 2013-14,State Four Year Graduation Rate,Like Districts Four Year Graduation Rate,Five Year Completion Rate 2010-11,Five Year Completion Rate 2011-12,Five Year Completion Rate 2012-13,Five Year Completion Rate 2013-14,State Five Year Completion Rate,Like Districts Five Year Completion Rate,Dropout Rate 2010-11,Dropout Rate 2011-12,Dropout Rate 2012-13,Dropout Rate 2013-14,State Dropout Rate,Like Districts Dropout Rate,Continuing Education Rate 2009-10,Continuing Education Rate 2010-11,Continuing Education Rate 2011-12,Continuing Education Rate 2012-13,State Continuing Education Rate,Like Districts Continuing Education Rate,Priority Elem School Cnt,Priority Middle School Cnt,Priority High School Cnt,Focus Elem School Cnt,Focus Middle School Cnt,Focus High School Cnt,Model Elem School Cnt,Model Middle School Cnt,Model High School Cnt
2063,Adel SD 21,Mary Woodworth,Lake,--,5,3,--,--,0.0%,0.0%,--,*,*,*,*,8.0,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100%,*,*,*,*,*,*,*,*,*,*,*,*,--,--,1,--,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$36401,$9769,$33176,$10883,81%,7%,12%,66.7,51.1,--,*,56.4,--,*,68.5,--,66.7,44.8,--,*,42.5,--,*,31.6,--,*,*,*,*,66.8,--,*,*,*,*,65.0,--,*,*,*,*,62.6,--,*,*,79.9,--,--,--,0.0,0.0,31.7,--,100.0,50.0,100.0,--,72.0,--,--,100.0,100.0,100.0,82.1,--,0.0,0.0,0.0,0.0,4.0,--,--,100.0,50.0,100.0,60.5,--,0,0,0,0,0,0,0,0,0
2113,Adrian SD 61,Gene Mills,Malheur,79,42,61,81,20.2%,20.4%,18.2%,13.6%,87.8%,>95%,85.7%,92.3%,20.0,25.0,18.0,22.0,--,--,--,--,16.0,24.0,--,--,--,--,--,--,--,--,--,--,--,--,11.0,24.0,9.5,24.0,11.0,25.0,14.0,27.0,--,--,--,--,--,--,--,--,--,--,100%,16%,*,21%,23%,63%,64%,64%,40%,*,14%,18%,15%,2,2,2,2,0,2%,0,4%,0,0,0,0,33%,17%,31%,23%,0,0,2%,2%,0,2%,3%,4%,0,0,0,0,67%,79%,64%,67%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$13763,$9769,$12700,$10883,15%,78%,7%,65.0,51.1,43.7,48.2,56.4,48.3,69.2,68.5,63.7,60.0,44.8,35.0,51.8,42.5,35.2,21.4,31.6,27.8,>95,93.8,93.3,>95,66.8,66.5,93.8,88.9,90.0,87.5,65.0,62.7,69.6,36.4,77.8,78.6,62.6,52.7,>95,>95,79.9,87.9,38.5,42.9,64.3,57.9,31.7,29.6,100.0,95.5,78.3,84.6,72.0,83.5,100.0,100.0,100.0,95.7,82.1,89.8,0.0,0.0,3.0,1.4,4.0,1.5,68.4,61.1,52.4,50.0,60.5,51.1,0,0,0,0,0,0,0,0,0
1899,Alsea SD 7J,Katie Sapp,Benton,57,18,43,71,18.8%,31.8%,24.0%,44.4%,79.6%,81.3%,70.0%,55.6%,14.5,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.5,17.0,10.0,15.0,12.0,18.0,10.0,19.0,62.20%,*,*,*,*,56%,67%,44%,38%,25%,*,*,10%,1,1,2,3,0,0,0,0,0,0,0,0,5%,6%,5%,7%,0,0,0,3%,0,0,2%,4%,0,0,0,0,95%,94%,93%,86%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$14670,$9769,$16562,$10883,18%,77%,5%,26.9,51.1,39.5,36.6,56.4,35.6,71.4,68.5,71.3,28.0,44.8,34.5,30.8,42.5,26.1,28.6,31.6,24.2,88.9,75.0,42.9,*,66.8,71.2,*,40.0,81.8,72.7,65.0,49.3,*,33.3,83.3,42.9,62.6,67.4,<5,>95,79.9,72.0,57.1,44.4,6.7,44.4,31.7,40.1,83.3,81.3,77.8,82.4,72.0,74.4,71.4,84.6,93.8,88.9,82.1,78.1,2.3,11.6,0.0,2.3,4.0,2.5,40.0,36.4,53.8,62.5,60.5,47.7,0,0,0,0,0,0,0,0,0
2252,Amity SD 4J,Jeff Clark,Yamhill,238,121,211,312,13.8%,13.5%,11.7%,20.2%,76.9%,73.0%,68.6%,68.5%,20.0,25.0,--,--,--,--,--,--,--,--,19.0,19.5,19.0,25.0,19.0,26.0,21.0,28.0,22.0,28.0,--,--,20.5,24.0,19.0,24.0,18.0,25.0,26.0,27.0,4.0,15.0,--,--,9.0,15.0,--,--,--,--,96.80%,10%,7%,9%,7%,51%,61%,50%,29%,7%,12%,18%,16%,2,3,3,6,0,1%,0,1%,<1%,1%,1%,<1%,18%,16%,17%,13%,1%,0,1%,2%,3%,2%,6%,5%,0,1%,0,0,77%,79%,75%,78%,,7%,,,,,,,,,5%,,,,,,,,,4%,,,,4%,100%,93%,95%,92%,$9486,$9769,$11551,$10883,24%,69%,6%,35.3,51.1,47.9,42.5,56.4,54.0,58.0,68.5,72.6,26.5,44.8,41.3,26.3,42.5,38.9,25.6,31.6,24.8,65.6,45.5,56.7,57.6,66.8,69.5,79.7,61.0,76.7,53.8,65.0,69.7,62.3,59.1,55.9,77.3,62.6,63.4,81.3,79.1,79.9,80.4,23.8,28.6,32.4,23.6,31.7,38.6,77.6,76.2,75.3,83.1,72.0,74.7,90.6,87.9,88.0,85.9,82.1,81.4,1.5,0.7,4.5,2.9,4.0,3.4,56.1,60.4,51.4,54.2,60.5,58.6,0,0,0,0,0,0,0,0,0
2111,Annex SD 29,Steve Bishop,Malheur,40,17,14,18,25.0%,11.8%,29.4%,36.4%,78.9%,93.8%,69.2%,93.8%,20.5,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100%,28%,*,*,33%,93%,94%,86%,67%,18%,*,*,*,1,1,1,1,0,6%,7%,0,3%,0,0,0,38%,18%,36%,39%,3%,0,0,0,8%,0,0,6%,0,0,0,0,50%,76%,57%,56%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,,$11057,$9769,$10401,$10883,18%,60%,22%,33.3,51.1,54.1,41.7,56.4,47.3,*,68.5,57.7,33.3,44.8,41.0,33.3,42.5,31.5,*,31.6,15.4,*,50.0,*,*,66.8,88.0,*,*,25.0,*,65.0,32.3,*,*,*,*,62.6,47.4,<5,*,79.9,82.6,0.0,0.0,0.0,0.0,31.7,31.4,40.0,0.0,0.0,0.0,72.0,76.7,100.0,40.0,0.0,0.0,82.1,80.0,6.3,0.0,7.1,4.8,4.0,1.7,36.4,100.0,--,--,60.5,37.5,0,0,0,0,0,0,0,0,0
2005,Arlington SD 3,Steve Boynton,Gilliam,45,20,31,47,16.0%,9.5%,17.6%,16.7%,86.0%,73.7%,75.0%,54.8%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.0,15.0,18.0,17.0,9.5,15.0,11.5,18.0,11.0,19.0,92.30%,*,*,*,*,60%,65%,42%,51%,*,*,23%,15%,2,2,2,4,0,0,0,0,0,0,0,0,7%,5%,23%,13%,2%,0,3%,2%,4%,5%,10%,2%,0,0,0,2%,87%,90%,65%,81%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$16623,$9769,$21265,$10883,96%,1%,3%,56.7,51.1,48.1,40.7,56.4,51.5,*,68.5,79.7,33.3,44.8,40.0,38.5,42.5,34.1,*,31.6,27.5,*,57.1,*,85.7,66.8,73.2,*,31.6,*,87.5,65.0,64.8,*,20.0,85.7,*,62.6,67.0,80.0,>95,79.9,79.4,37.5,22.2,72.7,63.6,31.7,36.3,83.3,62.5,71.4,91.7,72.0,79.7,91.7,88.9,85.7,100.0,82.1,89.5,0.0,0.0,7.1,0.0,4.0,2.3,40.0,46.7,50.0,42.9,60.5,53.4,0,0,0,0,0,0,0,0,0
2115,Arock SD 81,Vicki McConnell,Malheur,9,3,2,--,0.0%,0.0%,0.0%,--,>95%,*,*,*,7.0,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100%,*,*,*,*,*,*,*,*,*,*,*,*,2,2,1,--,0,0,0,,0,0,0,,11%,33%,0,,0,0,0,,0,0,0,,0,0,0,,89%,67%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,,$39062,$9769,$26132,$10883,24%,71%,5%,*,51.1,--,*,56.4,--,*,68.5,--,*,44.8,--,*,42.5,--,*,31.6,--,*,*,*,*,66.8,--,*,*,*,*,65.0,--,*,*,*,*,62.6,--,*,*,79.9,--,--,--,0.0,0.0,31.7,--,--,--,--,--,72.0,--,--,--,--,--,82.1,--,--,--,--,--,4.0,--,--,--,--,--,60.5,--,0,0,0,0,0,0,0,0,0
2041,Ashland SD 5,Jay Hummel,Jackson,721,393,663,998,11.8%,8.7%,10.0%,14.6%,90.1%,86.1%,79.7%,74.6%,26.0,25.0,46.0,22.0,16.0,21.0,--,--,--,--,--,--,24.0,25.0,24.0,26.0,26.5,28.0,25.0,28.0,--,--,25.0,24.0,22.0,24.0,23.5,25.0,27.0,27.0,--,--,--,--,--,--,--,--,--,--,89.90%,<5%,<5%,<5%,<5%,38%,44%,35%,26%,12%,17%,15%,13%,7,6,6,9,2%,2%,2%,3%,1%,2%,3%,2%,10%,9%,6%,7%,1%,1%,1%,1%,8%,10%,6%,8%,1%,0,<1%,<1%,77%,78%,81%,79%,2%,2%,,5%,,,,,,,2%,7%,,,,,,,,,2%,,,2%,97%,98%,98%,87%,$10224,$9769,$11200,$10883,61%,35%,4%,73.0,51.1,60.4,79.1,56.4,65.5,84.1,68.5,77.3,66.7,44.8,54.8,64.5,42.5,49.8,52.5,31.6,42.6,84.1,81.5,86.7,85.2,66.8,82.7,79.1,83.2,87.5,85.1,65.0,74.3,73.1,77.0,72.3,62.8,62.6,75.9,93.0,93.2,79.9,87.9,63.9,58.0,57.5,60.8,31.7,47.6,90.9,85.8,83.0,86.3,72.0,84.0,96.0,95.5,94.7,94.5,82.1,91.2,1.2,2.0,1.9,1.7,4.0,1.8,73.6,68.5,71.2,55.3,60.5,67.3,0,0,0,0,0,0,2,0,0
2051,Ashwood SD 8,Melanie Friend,Jefferson,1,--,1,--,50.0%,100%,0.0%,--,*,*,*,*,2.0,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100%,*,*,*,*,*,*,*,*,*,*,*,*,1,--,1,--,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,100%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,,$66578,$9769,$75478,$10883,2%,95%,3%,*,51.1,--,*,56.4,--,*,68.5,--,*,44.8,--,*,42.5,--,*,31.6,--,*,*,*,*,66.8,--,*,*,*,*,65.0,--,*,*,*,*,62.6,--,*,*,79.9,--,--,--,0.0,0.0,31.7,--,--,--,--,100.0,72.0,--,--,--,--,--,82.1,--,--,0.0,0.0,0.0,4.0,--,--,--,--,--,60.5,--,0,0,0,0,0,0,0,0,0
1933,Astoria SD 1,Craig Hoppes,Clatsop,578,254,416,572,16.2%,15.6%,12.6%,18.3%,84.3%,90.2%,85.5%,73.4%,22.0,25.0,--,--,--,--,--,--,--,--,6.0,19.5,26.5,25.0,15.0,26.0,27.0,28.0,26.0,28.0,--,--,25.0,24.0,26.0,24.0,23.0,25.0,24.5,27.0,--,--,--,--,--,--,--,--,--,--,90.90%,11%,11%,8%,6%,58%,52%,46%,40%,18%,19%,16%,13%,4,3,3,8,1%,1%,2%,2%,1%,0,<1%,1%,19%,19%,14%,13%,2%,<1%,<1%,1%,3%,4%,4%,4%,1%,0,1%,1%,74%,76%,78%,79%,,,,,,,,,,,7%,,,,,,2%,5%,,3%,,,,,98%,95%,93%,97%,$9403,$9769,$11749,$10883,41%,51%,8%,49.3,51.1,46.7,63.8,56.4,51.8,79.6,68.5,70.5,42.9,44.8,40.8,45.5,42.5,37.6,10.3,31.6,26.4,60.8,56.8,78.8,56.9,66.8,69.3,63.9,67.1,71.5,65.9,65.0,68.6,56.5,50.7,37.0,33.6,62.6,67.3,79.6,79.5,79.9,80.2,52.5,52.7,46.8,53.8,31.7,35.7,60.5,59.8,69.2,65.6,72.0,75.8,78.4,69.9,67.9,76.0,82.1,83.2,3.5,4.6,3.9,5.1,4.0,3.1,66.7,60.8,62.4,69.4,60.5,54.3,0,0,0,0,0,0,0,0,0
