District ID,District Name,Superintendent,County,Enrollment K-3,Enrollment 4-5,Enrollment 6-8,Enrollment 9-12,Pct Mobile Students K-3,Pct Mobile Students 4-5,Pct Mobile Students 6-8,Pct Mobile Students 9-12,Regular Attender Pct K-3,Regular Attender Pct 4-5,Regular Attender Pct 6-8,Regular Attender Pct 9-12,District Elementary Self-Contained Class Size,Oregon Elementary Self-Contained Class Size,District Elementary ELA Class Size,Oregon Elementary ELA Class Size,District Elementary Math Class Size,Oregon Elementary Math Class Size,District Elementary Science Class Size,Oregon Elementary Science Class Size,District Elementary Social Studies Class Size,Oregon Elementary Social Studies Class Size,District Middle Self-Contained Class Size,Oregon Middle Self-Contained Class Size,District Middle ELA Class Size,Oregon Middle ELA Class Size,District Middle Math Class Size,Oregon Middle Math Class Size,District Middle Science Class Size,Oregon Middle Science Class Size,District Middle Social Studies Class Size,Oregon Middle Social Studies Class Size,District High Self-Contained Class Size,Oregon High Self-Contained Class Size,District High ELA Class Size,Oregon High ELA Class Size,District High Math Class Size,Oregon High Math Class Size,District High Science Class Size,Oregon High Science Class Size,District High Social Studies Class Size,Oregon High Social Studies Class Size,District Combined Self-Contained Class Size,Oregon Combined Self-Contained Class Size,District Combined ELA Class Size,Oregon Combined ELA Class Size,District Combined Math Class Size,Oregon Combined Math Class Size,District Combined Science Class Size,Oregon Combined Science Class Size,District Combined Social Studies Class Size,Oregon Combined Social Studies Class Size,Highly Qualified Teachers Pct,Ever English Learners Pct K-3,Ever English Learners Pct 4-5,Ever English Learners Pct 6-8,Ever English Learners Pct 9-12,Economically Disadvantaged Pct K-3,Economically Disadvantaged Pct 4-5,Economically Disadvantaged Pct 6-8,Economically Disadvantaged Pct 9-12,Students with Disabilities Pct K-3,Students with Disabilities Pct 4-5,Students with Disabilities Pct 6-8,Students with Disabilities Pct 9-12,Languages Spoken K-3,Languages Spoken 4-5,Languages Spoken 6-8,Languages Spoken 9-12,Asian Student Pct K-3,Asian Student Pct 4-5,Asian Student Pct 6-8,Asian Student Pct 9-12,Black Student Pct K-3,Black Student Pct 4-5,Black Student Pct 6-8,Black Student Pct 9-12,Hispanic Student Pct K-3,Hispanic Student Pct 4-5,Hispanic Student Pct 6-8,Hispanic Student Pct 9-12,American Indian/Alaska Native Student Pct K-3,American Indian/Alaska Native Student Pct 4-5,American Indian/Alaska Native Student Pct 6-8,American Indian/Alaska Native Student Pct 9-12,Multi-racial Student Pct K-3,Multi-racial Student Pct 4-5,Multi-racial Student Pct 6-8,Multi-racial Student Pct 9-12,Pacific Islander Student Pct K-3,Pacific Islander Student Pct 4-5,Pacific Islander Student Pct 6-8,Pacific Islander Student Pct 9-12,White Student Pct K-3,White Student Pct 4-5,White Student Pct 6-8,White Student Pct 9-12,Asian Staff Pct K-3,Asian Staff Pct 4-5,Asian Staff Pct 6-8,Asian Staff Pct 9-12,Black Staff Pct K-3,Black Staff Pct 4-5,Black Staff Pct 6-8,Black Staff Pct 9-12,Hispanic Staff Pct K-3,Hispanic Staff Pct 4-5,Hispanic Staff Pct 6-8,Hispanic Staff Pct 9-12,American Indian/Alaska Native Staff Pct K-3,American Indian/Alaska Native Staff Pct 4-5,American Indian/Alaska Native Staff Pct 6-8,American Indian/Alaska Native Staff Pct 9-12,Multi-racial Staff Pct K-3,Multi-racial Staff Pct 4-5,Multi-racial Staff Pct 6-8,Multi-racial Staff Pct 9-12,Pacific Islander Staff Pct K-3,Pacific Islander Staff Pct 4-5,Pacific Islander Staff Pct 6-8,Pacific Islander Staff Pct 9-12,White Staff Pct K-3,White Staff Pct 4-5,White Staff Pct 6-8,White Staff Pct 9-12,District Per Pupil Spending 2014-15,State Per Pupil Spending 2014-15,Budgeted District Per Pupil Spending 2015-16,Budgeted State Per Pupil Spending 2015-16,Funding Source 2014-15 Pct Local,Funding Source 2014-15 Pct State,Funding Source 2014-15 Pct Federal,ELA Pct Met 2014-15 Gr 3-5,ELA Pct Met 2015-16 Gr 3-5,State ELA Pct Met 2015-16 Gr 3-5,Like Districts ELA Pct Met 2015-16 Gr 3-5,ELA Pct Met 2014-15 Gr 6-8,ELA Pct Met 2015-16 Gr 6-8,State ELA Pct Met 2015-16 Gr 6-8,Like Districts ELA Pct Met 2015-16 Gr 6-8,ELA Pct Met 2014-15 Gr 11,ELA Pct Met 2015-16 Gr 11,State ELA Pct Met 2015-16 Gr 11,Like Districts ELA Pct Met 2015-16 Gr 11,Math Pct Met 2014-15 Gr 3-5,Math Pct Met 2015-16 Gr 3-5,State Math Pct Met 2015-16 Gr 3-5,Like Districts Math Pct Met 2015-16 Gr 3-5,Math Pct Met 2014-15 Gr 6-8,Math Pct Met 2015-16 Gr 6-8,State Math Pct Met 2015-16 Gr 6-8,Like Districts Math Pct Met 2015-16 Gr 6-8,Math Pct Met 2014-15 Gr 11,Math Pct Met 2015-16 Gr 11,State Math Pct Met 2015-16 Gr 11,Like Districts Math Pct Met 2015-16 Gr 11,Science Pct Met 2012-13 Gr  5,Science Pct Met 2013-14 Gr 5,Science Pct Met 2014-15 Gr 5,Science Pct Met 2015-16 Gr 5,State Science Pct Met 2015-16 Gr 5,Like Districts Science Pct Met 2015-16 Gr 5,Science Pct Met 2012-13 Gr  8,Science Pct Met 2013-14 Gr 8,Science Pct Met 2014-15 Gr 8,Science Pct Met 2015-16 Gr 8,State Science Pct Met 2015-16 Gr 8,Like Districts Science Pct Met 2015-16 Gr 8,Science Pct Met 2012-13 Gr  11,Science Pct Met 2013-14 Gr 11,Science Pct Met 2014-15 Gr 11,Science Pct Met 2015-16 Gr 11,State Science Pct Met 2015-16 Gr 11,Like Districts Science Pct Met 2015-16 Gr 11,Freshmen On Track 2013-14,Freshmen On Track 2014-15,Freshmen On Track 2015-16,State Freshman On Track,Like District Freshman On Track,Four Year Graduation Rate 2011-12,Four Year Graduation Rate 2012-13,Four Year Graduation Rate 2013-14,Four Year Graduation Rate 2014-15,State Four Year Graduation Rate,Like Districts Four Year Graduation Rate,Five Year Completion Rate 2011-12,Five Year Completion Rate 2012-13,Five Year Completion Rate 2013-14,Five Year Completion Rate 2014-15,State Five Year Completion Rate,Like Districts Five Year Completion Rate,Dropout Rate 2011-12,Dropout Rate 2012-13,Dropout Rate 2013-14,Dropout Rate 2014-15,State Dropout Rate,Like Districts Dropout Rate,Continuing Education Rate 2010-11,Continuing Education Rate 2011-12,Continuing Education Rate 2012-13,Continuing Education Rate 2013-14,State Continuing Education Rate,Like Districts Continuing Education Rate,Tier 1 Elem School Cnt,Tier 1 Middle School Cnt,Tier 1 High School Cnt,Tier 2 Elem School Cnt,Tier 2 Middle School Cnt,Tier 2 High School Cnt,Tier 3 Elem School Cnt,Tier 3 Middle School Cnt,Tier 3 High School Cnt
2063,Adel SD 21,Mary Woodworth,Lake,--,6,3,--,0%,0%,0%,0%,*,83.3%,*,*,9.0,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100%,*,*,*,*,*,*,*,*,*,*,*,*,--,--,1,--,,0,0,,,0,0,,,0,0,,,17%,0,,,0,0,,,0,0,,,83%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$28289,$10302,$29762,$11329,76%,15%,9%,66.7,*,52.4,--,*,*,56.7,--,*,*,70.0,--,66.7,*,44.9,--,*,*,42.8,--,*,*,34.2,--,*,*,*,*,66.5,--,*,*,*,*,63.8,--,*,*,*,*,60.0,--,*,*,*,83.5,--,50.0,100.0,--,100.0,73.8,--,100.0,100.0,100.0,--,81.6,--,0.0,0.0,0.0,0.0,4.3,--,100.0,50.0,100.0,--,59.4,--,0,0,0,0,0,0,0,0,0
2113,Adrian SD 61,Gene Mills,Malheur,86,48,72,77,16.3%,10.0%,9.2%,12.0%,>95%,87.0%,91.4%,81.3%,22.0,25.0,22.0,22.0,--,--,--,--,23.0,24.0,--,--,--,--,--,--,--,--,--,--,--,--,18.0,25.0,12.5,24.0,15.5,26.0,19.0,27.0,--,--,--,--,--,--,--,--,--,--,97.30%,17%,15%,19%,25%,67%,69%,63%,49%,16%,19%,17%,16%,2,2,2,3,0,0,0,3%,0,0,0,0,29%,23%,26%,23%,0,0,3%,0,2%,4%,1%,5%,0,0,0,0,69%,73%,69%,69%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$12414,$10302,$13526,$11329,14%,80%,6%,65.0,74.2,52.4,47.3,48.2,60.9,56.7,47.4,69.2,68.8,70.0,69.3,60.0,62.1,44.9,35.8,51.8,52.2,42.8,33.4,21.4,25.0,34.2,28.7,93.8,93.3,>95,>95,66.5,68.6,88.9,90.0,87.5,70.4,63.8,61.1,36.4,77.8,78.6,81.3,60.0,55.5,>95,>95,>95,83.5,86.6,95.5,78.3,84.6,100.0,73.8,80.5,100.0,100.0,95.7,91.7,81.6,85.6,0.0,3.0,1.4,0.0,4.3,2.6,61.1,52.4,50.0,36.4,59.4,51.8,0,0,0,0,0,0,0,0,0
1899,Alsea SD 7J,Marc Thielman,Benton,42,18,29,56,18.8%,0%,20.6%,13.3%,84.6%,94.4%,75.9%,61.1%,12.0,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.5,16.0,12.0,16.0,10.0,14.0,11.0,18.0,10.0,19.0,70.80%,*,*,*,*,55%,67%,52%,55%,21%,39%,*,13%,1,1,1,1,0,0,0,2%,0,0,0,0,2%,11%,7%,9%,0,0,0,2%,0,6%,0,4%,0,0,0,0,98%,83%,93%,84%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$15635,$10302,$22838,$11329,18%,78%,3%,26.9,14.3,52.4,48.1,36.6,30.0,56.7,53.1,71.4,71.4,70.0,76.2,28.0,19.0,44.9,37.2,30.8,10.0,42.8,35.8,28.6,14.3,34.2,30.6,75.0,42.9,*,*,66.5,71.7,40.0,81.8,72.7,40.0,63.8,68.3,33.3,83.3,42.9,42.9,60.0,68.2,>95,<5,92.3,83.5,85.4,81.3,77.8,82.4,53.3,73.8,77.7,84.6,93.8,88.9,77.8,81.6,86.7,11.6,0.0,2.3,4.0,4.3,2.6,36.4,53.8,62.5,14.3,59.4,52.1,0,0,0,0,0,0,0,0,0
2252,Amity SD 4J,Jeff Clark,Yamhill,228,115,195,313,13.7%,15.3%,10.8%,15.4%,89.0%,88.0%,73.3%,72.0%,20.5,25.0,--,--,--,--,--,--,--,--,20.0,20.0,20.0,25.0,17.5,26.0,21.5,28.0,21.0,28.0,--,--,21.0,25.0,18.0,24.0,17.5,26.0,22.0,27.0,6.0,16.0,12.0,16.0,11.0,14.0,12.0,18.0,14.0,19.0,99.30%,10%,7%,10%,7%,49%,55%,46%,27%,11%,15%,16%,16%,3,3,3,5,<1%,2%,1%,0,<1%,1%,0,1%,15%,17%,17%,12%,1%,0,2%,1%,4%,3%,4%,6%,0,0,1%,0,78%,77%,76%,79%,,7%,,,,,,,,,4%,,,,,,4%,,,4%,,,4%,4%,96%,93%,92%,92%,$9754,$10302,$11851,$11329,24%,70%,7%,35.3,44.2,52.4,48.5,42.5,48.4,56.7,52.8,58.0,62.9,70.0,74.5,26.5,35.5,44.9,42.7,26.3,33.3,42.8,36.8,25.6,12.0,34.2,33.9,45.5,56.7,57.6,57.4,66.5,71.0,61.0,76.7,53.8,63.9,63.8,64.4,59.1,55.9,77.3,57.3,60.0,57.6,79.1,81.3,84.5,83.5,79.7,76.2,75.3,83.1,73.7,73.8,77.7,87.9,88.0,85.9,87.9,81.6,84.4,0.7,4.5,2.9,6.5,4.3,3.0,60.4,51.4,54.2,60.0,59.4,51.0,0,0,0,0,0,0,0,0,0
2111,Annex SD 29,Steve Bishop,Malheur,36,18,19,15,15.0%,10.0%,5.0%,6.3%,91.4%,83.3%,78.9%,80.0%,18.5,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100%,28%,*,*,*,86%,89%,89%,67%,*,*,*,*,2,2,2,1,0,6%,5%,0,0,6%,0,0,39%,28%,32%,40%,0,0,0,0,11%,0,0,7%,0,0,0,0,50%,61%,63%,53%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,,$9934,$10302,$11621,$11329,14%,75%,11%,33.3,22.2,52.4,59.3,41.7,31.6,56.7,55.7,*,*,70.0,77.5,33.3,22.2,44.9,51.3,33.3,33.3,42.8,52.7,*,*,34.2,32.9,50.0,*,*,80.0,66.5,75.9,*,25.0,*,50.0,63.8,65.6,*,*,*,*,60.0,71.8,*,<5,*,83.5,>95,0.0,0.0,0.0,0.0,73.8,93.9,40.0,0.0,0.0,0.0,81.6,92.2,0.0,7.1,4.8,5.9,4.3,0.0,100.0,--,--,--,59.4,70.2,0,0,0,0,0,0,0,0,0
2005,Arlington SD 3,Kevin Hunking,Gilliam,50,29,29,49,29.5%,16.1%,22.9%,18.5%,71.1%,85.2%,75.0%,50.0%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.0,16.0,12.0,16.0,10.0,14.0,11.0,18.0,11.0,19.0,97.00%,*,*,*,*,70%,41%,59%,53%,*,21%,24%,14%,2,2,2,2,0,0,0,0,0,0,0,0,2%,14%,28%,10%,2%,0,3%,2%,4%,3%,7%,4%,0,0,0,0,92%,83%,62%,84%,14%,14%,9%,11%,,,,,,,,,,,,,,,,,,,,,86%,86%,91%,89%,$18756,$10302,$17261,$11329,97%,1%,2%,56.7,46.3,52.4,42.6,40.7,64.3,56.7,50.5,*,78.9,70.0,74.0,33.3,41.5,44.9,34.2,38.5,39.3,42.8,34.1,*,36.8,34.2,31.6,57.1,*,85.7,62.5,66.5,64.2,31.6,*,87.5,54.5,63.8,66.5,20.0,85.7,*,27.8,60.0,65.1,>95,80.0,91.7,83.5,78.9,62.5,71.4,91.7,64.3,73.8,73.3,88.9,85.7,100.0,84.6,81.6,81.8,0.0,7.1,0.0,2.3,4.3,4.4,46.7,50.0,42.9,45.5,59.4,49.5,0,0,0,0,0,0,0,0,0
2115,Arock SD 81,Vicki McConnell,Malheur,8,--,4,--,0%,0%,0%,0%,>95%,*,*,*,6.0,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100%,*,*,*,*,*,*,*,*,*,*,*,*,2,--,2,--,0,,0,,0,,0,,13%,,25%,,0,,0,,0,,0,,0,,0,,88%,,75%,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,,$21696,$10302,$35627,$11329,21%,76%,4%,*,*,52.4,--,*,*,56.7,--,*,*,70.0,--,*,*,44.9,--,*,*,42.8,--,*,*,34.2,--,*,*,*,*,66.5,--,*,*,*,*,63.8,--,*,*,*,*,60.0,--,*,*,*,83.5,--,--,--,--,--,73.8,--,--,--,--,--,81.6,--,--,--,--,--,4.3,--,--,--,--,--,59.4,--,0,0,0,0,0,0,0,0,0
2041,Ashland SD 5,Suzanne  Cusick,Jackson,747,395,633,1010,12.2%,9.6%,11.6%,12.0%,90.3%,90.7%,82.0%,73.4%,23.0,25.0,23.0,22.0,24.0,21.0,--,--,--,--,9.0,20.0,24.0,25.0,25.0,26.0,25.0,28.0,23.0,28.0,--,--,23.5,25.0,21.0,24.0,26.0,26.0,26.0,27.0,--,--,--,--,--,--,--,--,--,--,96.70%,<5%,<5%,<5%,<5%,42%,44%,40%,29%,11%,13%,12%,13%,8,5,8,13,1%,2%,2%,3%,1%,2%,2%,2%,9%,9%,7%,8%,1%,1%,<1%,1%,8%,11%,7%,8%,<1%,0,<1%,<1%,78%,76%,81%,79%,2%,2%,2%,4%,,,,,,,2%,7%,,,,,2%,,,,,,,,97%,98%,96%,88%,$10691,$10302,$10737,$11329,53%,38%,9%,73.0,72.5,52.4,57.2,79.1,74.9,56.7,62.2,84.1,85.9,70.0,78.6,66.7,62.7,44.9,49.3,64.5,67.2,42.8,47.2,52.5,53.6,34.2,41.5,81.5,86.7,85.2,83.6,66.5,77.5,83.2,87.5,85.1,81.4,63.8,71.8,77.0,72.3,62.8,63.6,60.0,66.0,93.2,93.0,88.6,83.5,84.4,85.8,83.0,86.3,89.1,73.8,78.9,95.5,94.7,94.5,92.6,81.6,85.2,2.0,1.9,1.7,1.7,4.3,3.4,68.5,71.2,55.3,60.6,59.4,62.6,0,0,0,0,0,0,0,0,0
2051,Ashwood SD 8,Melanie Friend,Jefferson,3,--,--,--,25.0%,0%,0%,0%,*,*,*,*,3.0,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100%,*,*,*,*,*,*,*,*,*,*,*,*,1,--,--,--,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,$51138,$10302,$83935,$11329,1%,97%,2%,*,*,52.4,--,*,*,56.7,--,*,*,70.0,--,*,*,44.9,--,*,*,42.8,--,*,*,34.2,--,*,*,*,*,66.5,--,*,*,*,*,63.8,--,*,*,*,*,60.0,--,*,*,*,83.5,--,--,--,100.0,--,73.8,--,--,--,--,100.0,81.6,--,0.0,0.0,0.0,0.0,4.3,--,--,--,--,0.0,59.4,--,0,0,0,0,0,0,0,0,0
1933,Astoria SD 1,Craig Hoppes,Clatsop,548,269,449,568,17.6%,11.8%,12.4%,16.8%,83.7%,88.6%,86.5%,75.0%,22.0,25.0,--,--,--,--,--,--,--,--,2.0,20.0,28.0,25.0,22.0,26.0,28.5,28.0,29.0,28.0,--,--,25.0,25.0,24.0,24.0,20.5,26.0,28.0,27.0,--,--,--,--,--,--,--,--,--,--,98.80%,11%,9%,10%,8%,>95%,>95%,52%,37%,17%,13%,19%,13%,3,4,4,11,1%,1%,2%,3%,<1%,1%,<1%,<1%,19%,17%,17%,14%,1%,<1%,<1%,1%,3%,3%,4%,5%,1%,1%,1%,1%,75%,78%,76%,76%,,5%,,3%,,,,,,,7%,,,,,,,,,,,,,,100%,95%,93%,97%,$10370,$10302,$11725,$11329,42%,51%,7%,49.3,52.1,52.4,49.3,63.8,55.5,56.7,53.5,79.6,71.0,70.0,68.7,42.9,43.0,44.9,42.0,45.5,39.8,42.8,37.4,10.3,29.4,34.2,29.1,56.8,78.8,56.9,72.1,66.5,68.1,67.1,71.5,65.9,61.9,63.8,65.0,50.7,37.0,33.6,50.7,60.0,64.3,79.5,79.6,76.9,83.5,82.9,59.8,69.2,65.6,74.8,73.8,71.6,69.9,67.9,76.0,74.4,81.6,80.6,4.6,3.9,5.1,6.2,4.3,4.8,60.8,62.4,69.4,59.5,59.4,49.3,0,0,0,0,0,0,0,0,0
