District ID,District Name,Superintendent,County,Enrollment K-3,Enrollment 4-5,Enrollment 6-8,Enrollment 9-12,Pct Mobile Students K-3,Pct Mobile Students 4-5,Pct Mobile Students 6-8,Pct Mobile Students 9-12,Regular Attender Pct K-3,Regular Attender Pct 4-5,Regular Attender Pct 6-8,Regular Attender Pct 9-12,District Elementary Self-Contained Class Size,Oregon Elementary Self-Contained Class Size,District Elementary ELA Class Size,Oregon Elementary ELA Class Size,District Elementary Math Class Size,Oregon Elementary Math Class Size,District Elementary Science Class Size,Oregon Elementary Science Class Size,District Elementary Social Studies Class Size,Oregon Elementary Social Studies Class Size,District Middle Self-Contained Class Size,Oregon Middle Self-Contained Class Size,District Middle ELA Class Size,Oregon Middle ELA Class Size,District Middle Math Class Size,Oregon Middle Math Class Size,District Middle Science Class Size,Oregon Middle Science Class Size,District Middle Social Studies Class Size,Oregon Middle Social Studies Class Size,District High Self-Contained Class Size,Oregon High Self-Contained Class Size,District High ELA Class Size,Oregon High ELA Class Size,District High Math Class Size,Oregon High Math Class Size,District High Science Class Size,Oregon High Science Class Size,District High Social Studies Class Size,Oregon High Social Studies Class Size,District Combined Self-Contained Class Size,Oregon Combined Self-Contained Class Size,District Combined ELA Class Size,Oregon Combined ELA Class Size,District Combined Math Class Size,Oregon Combined Math Class Size,District Combined Science Class Size,Oregon Combined Science Class Size,District Combined Social Studies Class Size,Oregon Combined Social Studies Class Size,Ever English Learners Pct K-3,Ever English Learners Pct 4-5,Ever English Learners Pct 6-8,Ever English Learners Pct 9-12,Economically Disadvantaged Pct K-3,Economically Disadvantaged Pct 4-5,Economically Disadvantaged Pct 6-8,Economically Disadvantaged Pct 9-12,Students with Disabilities Pct K-3,Students with Disabilities Pct 4-5,Students with Disabilities Pct 6-8,Students with Disabilities Pct 9-12,Languages Spoken K-3,Languages Spoken 4-5,Languages Spoken 6-8,Languages Spoken 9-12,Asian Student Pct K-3,Asian Student Pct 4-5,Asian Student Pct 6-8,Asian Student Pct 9-12,Black Student Pct K-3,Black Student Pct 4-5,Black Student Pct 6-8,Black Student Pct 9-12,Hispanic Student Pct K-3,Hispanic Student Pct 4-5,Hispanic Student Pct 6-8,Hispanic Student Pct 9-12,American Indian/Alaska Native Student Pct K-3,American Indian/Alaska Native Student Pct 4-5,American Indian/Alaska Native Student Pct 6-8,American Indian/Alaska Native Student Pct 9-12,Multi-racial Student Pct K-3,Multi-racial Student Pct 4-5,Multi-racial Student Pct 6-8,Multi-racial Student Pct 9-12,Pacific Islander Student Pct K-3,Pacific Islander Student Pct 4-5,Pacific Islander Student Pct 6-8,Pacific Islander Student Pct 9-12,White Student Pct K-3,White Student Pct 4-5,White Student Pct 6-8,White Student Pct 9-12,Asian Staff Pct K-3,Asian Staff Pct 4-5,Asian Staff Pct 6-8,Asian Staff Pct 9-12,Black Staff Pct K-3,Black Staff Pct 4-5,Black Staff Pct 6-8,Black Staff Pct 9-12,Hispanic Staff Pct K-3,Hispanic Staff Pct 4-5,Hispanic Staff Pct 6-8,Hispanic Staff Pct 9-12,American Indian/Alaska Native Staff Pct K-3,American Indian/Alaska Native Staff Pct 4-5,American Indian/Alaska Native Staff Pct 6-8,American Indian/Alaska Native Staff Pct 9-12,Multi-racial Staff Pct K-3,Multi-racial Staff Pct 4-5,Multi-racial Staff Pct 6-8,Multi-racial Staff Pct 9-12,Pacific Islander Staff Pct K-3,Pacific Islander Staff Pct 4-5,Pacific Islander Staff Pct 6-8,Pacific Islander Staff Pct 9-12,White Staff Pct K-3,White Staff Pct 4-5,White Staff Pct 6-8,White Staff Pct 9-12,District Per Pupil Spending 2015-16,State Per Pupil Spending 2015-16,Budgeted District Per Pupil Spending 2016-17,Budgeted State Per Pupil Spending 2016-17,Funding Source 2015-16 Pct Local,Funding Source 2015-16 Pct State,Funding Source 2015-16 Pct Federal,ELA Pct Met 2014-15 Gr 3-5,ELA Pct Met 2015-16 Gr 3-5,ELA Pct Met 2016-17 Gr 3-5,State ELA Pct Met 2016-17 Gr 3-5,Like Districts ELA Pct Met 2016-17 Gr 3-5,ELA Pct Met 2014-15 Gr 6-8,ELA Pct Met 2015-16 Gr 6-8,ELA Pct Met 2016-17 Gr 6-8,State ELA Pct Met 2016-17 Gr 6-8,Like Districts ELA Pct Met 2016-17 Gr 6-8,ELA Pct Met 2014-15 Gr 11,ELA Pct Met 2015-16 Gr 11,ELA Pct Met 2016-17 Gr 11,State ELA Pct Met 2016-17 Gr 11,Like Districts ELA Pct Met 2016-17 Gr 11,Math Pct Met 2014-15 Gr 3-5,Math Pct Met 2015-16 Gr 3-5,Math Pct Met 2016-17 Gr 3-5,State Math Pct Met 2016-17 Gr 3-5,Like Districts Math Pct Met 2016-17 Gr 3-5,Math Pct Met 2014-15 Gr 6-8,Math Pct Met 2015-16 Gr 6-8,Math Pct Met 2016-17 Gr 6-8,State Math Pct Met 2016-17 Gr 6-8,Like Districts Math Pct Met 2016-17 Gr 6-8,Math Pct Met 2014-15 Gr 11,Math Pct Met 2015-16 Gr 11,Math Pct Met 2016-17 Gr 11,State Math Pct Met 2016-17 Gr 11,Like Districts Math Pct Met 2016-17 Gr 11,Science Pct Met 2013-14 Gr  5,Science Pct Met 2014-15 Gr 5,Science Pct Met 2015-16 Gr 5,Science Pct Met 2016-17 Gr 5,State Science Pct Met 2016-17 Gr 5,Like Districts Science Pct Met 2016-17 Gr 5,Science Pct Met 2013-14 Gr  8,Science Pct Met 2014-15 Gr 8,Science Pct Met 2015-16 Gr 8,Science Pct Met 2016-17 Gr 8,State Science Pct Met 2016-17 Gr 8,Like Districts Science Pct Met 2016-17 Gr 8,Science Pct Met 2013-14 Gr  11,Science Pct Met 2014-15 Gr 11,Science Pct Met 2015-16 Gr 11,Science Pct Met 2016-17 Gr 11,State Science Pct Met 2016-17 Gr 11,Like Districts Science Pct Met 2016-17 Gr 11,Freshmen On Track 2013-14,Freshmen On Track 2014-15,Freshmen On Track 2015-16,Freshmen On Track 2016-17,State Freshman On Track,Like District Freshman On Track,Four Year Graduation Rate 2012-13,Four Year Graduation Rate 2013-14,Four Year Graduation Rate 2014-15,Four Year Graduation Rate 2015-16,State Four Year Graduation Rate,Like Districts Four Year Graduation Rate,Five Year Completion Rate 2012-13,Five Year Completion Rate 2013-14,Five Year Completion Rate 2014-15,Five Year Completion Rate 2015-16,State Five Year Completion Rate,Like Districts Five Year Completion Rate,Dropout Rate 2012-13,Dropout Rate 2013-14,Dropout Rate 2014-15,Dropout Rate 2015-16,State Dropout Rate,Like Districts Dropout Rate,Continuing Education Rate 2011-12,Continuing Education Rate 2012-13,Continuing Education Rate 2013-14,Continuing Education Rate 2014-15,State Continuing Education Rate,Like Districts Continuing Education Rate
2063,Adel SD 21,Jack Thompson,Lake,--,4,6,--,0%,0%,42.9%,0%,*,*,*,*,10.0,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,*,*,*,--,1,1,--,,0,0,,,0,0,,,0,17%,,,25%,0,,,0,0,,,0,0,,,75%,83%,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$25288,$10692,$32036,$11822,69%,22%,9%,66.7,*,*,49.6,--,*,*,*,55.2,--,*,*,*,71.1,--,66.7,*,*,43.6,--,*,*,*,41.9,--,*,*,*,35.3,--,*,*,*,*,66.0,--,*,*,*,*,62.8,--,*,*,*,*,57.8,--,*,*,*,*,83.4,--,100.0,--,100.0,--,74.8,--,100.0,100.0,--,100.0,81.9,--,0.0,0.0,0.0,0.0,3.9,--,50.0,100.0,--,100.0,57.4,--
2113,Adrian SD 61,Gene Mills,Malheur,82,50,68,89,8.0%,11.5%,9.7%,15.2%,88.8%,93.6%,>95%,87.4%,23.0,25.0,22.5,22.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.0,25.0,11.0,24.0,16.0,25.0,19.5,27.0,--,--,--,--,--,--,--,--,--,--,16%,18%,13%,20%,57%,70%,63%,53%,16%,20%,15%,17%,1,2,2,2,0,0,0,1%,0,0,0,0,26%,24%,19%,22%,0,0,0,1%,0,0,1%,3%,0,0,0,0,74%,76%,79%,72%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$12754,$10692,$14789,$11822,13%,82%,6%,65.0,74.2,75.3,49.6,45.8,48.2,60.9,68.7,55.2,51.7,69.2,68.8,80.0,71.1,70.3,60.0,62.1,58.9,43.6,39.7,51.8,52.2,56.7,41.9,37.1,21.4,25.0,64.0,35.3,30.8,93.3,>95,>95,>95,66.0,66.0,90.0,87.5,70.4,90.9,62.8,65.6,77.8,78.6,81.3,92.0,57.8,57.9,>95,>95,>95,>95,83.4,81.9,78.3,84.6,100.0,94.1,74.8,82.5,100.0,95.7,91.7,100.0,81.9,87.4,3.0,1.4,0.0,0.0,3.9,2.9,52.4,50.0,36.4,57.9,57.4,48.2
1899,Alsea SD 7J,Marc Thielman,Benton,44,22,27,49,21.3%,24.0%,20.7%,14.5%,80.0%,90.0%,84.0%,63.8%,17.5,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.5,17.0,13.0,16.0,6.0,14.0,8.0,17.0,12.0,17.0,*,*,*,*,52%,68%,52%,57%,20%,*,*,*,1,1,1,1,0,0,0,0,0,0,0,0,9%,14%,15%,8%,0,0,0,4%,2%,5%,0,0,0,0,0,0,89%,82%,85%,88%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,$19660,$10692,$22414,$11822,18%,77%,5%,26.9,14.3,13.6,49.6,44.0,36.6,30.0,22.2,55.2,51.3,71.4,71.4,88.9,71.1,74.5,28.0,19.0,21.7,43.6,37.8,30.8,10.0,11.1,41.9,35.4,28.6,14.3,75.0,35.3,33.5,42.9,*,*,27.3,66.0,72.0,81.8,72.7,40.0,50.0,62.8,66.0,83.3,42.9,42.9,87.5,57.8,62.4,>95,<5,92.3,90.0,83.4,86.8,77.8,82.4,53.3,50.0,74.8,71.7,93.8,88.9,77.8,73.3,81.9,71.9,0.0,2.3,4.0,7.3,3.9,6.2,53.8,62.5,14.3,50.0,57.4,48.3
2252,Amity SD 4J,Jeff Clark,Yamhill,224,132,194,303,11.0%,12.7%,15.9%,12.3%,83.3%,84.5%,72.7%,66.9%,22.0,25.0,--,--,--,--,--,--,--,--,19.0,21.0,20.0,25.0,18.0,26.0,21.0,28.0,19.5,27.0,--,--,20.0,25.0,17.5,24.0,17.0,25.0,19.5,27.0,7.0,17.0,11.0,16.0,10.0,14.0,7.5,17.0,9.5,17.0,8%,7%,8%,8%,51%,51%,53%,33%,15%,10%,19%,17%,2,3,3,5,0,1%,1%,<1%,<1%,1%,0,1%,14%,13%,14%,13%,1%,1%,1%,1%,6%,5%,4%,6%,0,0,1%,0,79%,80%,79%,78%,,6%,,,,,,,,,4%,,,,,,5%,,,4%,,,4%,4%,95%,94%,91%,92%,$10174,$10692,$11601,$11822,23%,71%,6%,35.3,44.2,37.2,49.6,47.0,42.5,48.4,44.2,55.2,50.7,58.0,62.9,70.4,71.1,73.4,26.5,35.5,39.7,43.6,41.0,26.3,33.3,23.8,41.9,36.2,25.6,12.0,25.0,35.3,32.4,56.7,57.6,57.4,41.5,66.0,70.1,76.7,53.8,63.9,63.6,62.8,62.0,55.9,77.3,57.3,61.1,57.8,55.7,79.1,81.3,84.5,80.0,83.4,79.6,75.3,83.1,73.7,86.7,74.8,69.9,88.0,85.9,87.9,86.1,81.9,77.7,4.5,2.9,6.5,1.8,3.9,4.7,51.4,54.2,60.0,43.9,57.4,52.1
2111,Annex SD 29,Steve Bishop,Malheur,38,17,22,14,21.4%,17.6%,20.0%,6.7%,80.6%,88.2%,71.4%,85.7%,19.5,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26%,*,*,*,63%,76%,73%,>95%,*,*,*,*,2,2,2,1,0,0,0,0,0,0,0,0,42%,35%,27%,29%,0,0,0,0,8%,6%,9%,7%,0,0,0,0,50%,59%,64%,64%,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,,$9117,$10692,$13304,$11822,14%,78%,8%,33.3,22.2,14.3,49.6,48.6,41.7,31.6,36.4,55.2,52.4,*,*,*,71.1,81.1,33.3,22.2,7.1,43.6,40.8,33.3,33.3,27.3,41.9,37.4,*,*,*,35.3,41.3,*,*,80.0,14.3,66.0,68.7,25.0,*,50.0,33.3,62.8,57.0,*,*,*,*,57.8,65.6,*,<5,*,*,83.4,80.3,0.0,0.0,0.0,0.0,74.8,85.5,0.0,0.0,0.0,0.0,81.9,91.7,7.1,4.8,5.9,0.0,3.9,0.7,--,--,--,--,57.4,59.1
2005,Arlington SD 3,Kevin Hunking,Gilliam,39,26,37,52,23.9%,14.3%,17.1%,19.4%,82.9%,87.5%,73.5%,57.1%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.0,17.0,12.0,16.0,9.0,14.0,11.0,17.0,10.5,17.0,*,*,*,*,79%,38%,51%,44%,*,*,22%,17%,1,2,2,2,0,0,0,0,0,0,0,0,8%,15%,19%,10%,0,4%,5%,8%,3%,12%,0,6%,0,0,0,0,90%,69%,76%,77%,14%,14%,9%,10%,,,,,,,,,,,,,,,,,,,,,86%,86%,91%,90%,$16653,$10692,$17732,$11822,86%,10%,4%,56.7,46.3,70.6,49.6,43.8,40.7,64.3,50.0,55.2,50.7,*,78.9,81.8,71.1,74.2,33.3,41.5,47.1,43.6,37.9,38.5,39.3,35.3,41.9,35.8,*,36.8,27.3,35.3,35.1,*,85.7,62.5,63.6,66.0,71.3,*,87.5,54.5,70.0,62.8,63.0,85.7,*,27.8,63.6,57.8,65.4,>95,80.0,91.7,>95,83.4,84.8,71.4,91.7,64.3,22.2,74.8,69.0,85.7,100.0,84.6,69.2,81.9,72.7,7.1,0.0,2.3,2.0,3.9,6.7,50.0,42.9,45.5,66.7,57.4,46.4
2115,Arock SD 81,Vicki McConnell,Malheur,9,2,3,--,18.2%,0%,0%,0%,66.7%,*,*,*,7.0,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,*,*,*,2,1,1,--,0,0,0,,0,0,0,,11%,0,0,,0,0,0,,0,0,0,,0,0,0,,89%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,,$28377,$10692,$26094,$11822,18%,76%,5%,*,*,*,49.6,--,*,*,*,55.2,--,*,*,*,71.1,--,*,*,*,43.6,--,*,*,*,41.9,--,*,*,*,35.3,--,*,*,*,*,66.0,--,*,*,*,*,62.8,--,*,*,*,*,57.8,--,*,*,*,*,83.4,--,--,--,--,--,74.8,--,--,--,--,--,81.9,--,--,--,--,--,3.9,--,--,--,--,--,57.4,--
2041,Ashland SD 5,Kelly Raymond,Jackson,780,404,645,997,8.9%,11.1%,11.8%,12.5%,86.7%,87.8%,83.8%,77.9%,24.0,25.0,--,--,--,--,--,--,--,--,6.0,21.0,26.0,25.0,25.5,26.0,26.0,28.0,23.0,27.0,--,--,24.0,25.0,23.0,24.0,23.0,25.0,23.0,27.0,--,--,--,--,--,--,--,--,--,--,<5%,<5%,<5%,5%,40%,41%,43%,33%,14%,17%,12%,13%,6,6,7,13,2%,1%,2%,3%,2%,1%,2%,2%,9%,10%,9%,8%,1%,1%,<1%,1%,7%,11%,10%,8%,1%,0,<1%,<1%,79%,76%,77%,79%,2%,2%,2%,3%,,,,,,,2%,9%,,,,,2%,,,,,,,,97%,98%,96%,88%,$10421,$10692,$11328,$11822,57%,37%,6%,73.0,72.5,67.0,49.6,49.4,79.1,74.9,76.8,55.2,55.8,84.1,85.9,86.0,71.1,75.8,66.7,62.7,63.0,43.6,44.8,64.5,67.2,67.0,41.9,40.0,52.5,53.6,61.1,35.3,36.7,86.7,85.2,83.6,85.0,66.0,72.1,87.5,85.1,81.4,91.1,62.8,67.6,72.3,62.8,63.6,68.1,57.8,63.2,93.2,93.0,88.6,91.1,83.4,83.1,83.0,86.3,89.1,88.2,74.8,80.8,94.7,94.5,92.6,96.6,81.9,86.3,1.9,1.7,1.7,1.2,3.9,2.7,71.2,55.3,60.6,54.2,57.4,55.9
2051,Ashwood SD 8,Melanie Friend,Jefferson,3,--,--,--,0%,0%,0%,0%,*,*,*,*,3.0,25.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,*,*,*,1,--,--,--,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,$61076,$10692,$99167,$11822,1%,96%,3%,*,*,*,49.6,--,*,*,*,55.2,--,*,*,*,71.1,--,*,*,*,43.6,--,*,*,*,41.9,--,*,*,*,35.3,--,*,*,*,*,66.0,--,*,*,*,*,62.8,--,*,*,*,*,57.8,--,*,*,*,*,83.4,--,--,100.0,--,100.0,74.8,--,--,--,100.0,--,81.9,--,0.0,0.0,0.0,0.0,3.9,--,--,--,0.0,--,57.4,--
1933,Astoria SD 1,Craig Hoppes,Clatsop,534,299,420,570,13.6%,10.8%,9.4%,15.2%,83.9%,84.3%,82.9%,72.5%,22.5,25.0,--,--,--,--,--,--,--,--,--,--,24.5,25.0,27.0,26.0,25.5,28.0,28.0,27.0,--,--,23.5,25.0,25.0,24.0,23.0,25.0,27.0,27.0,--,--,--,--,--,--,--,--,--,--,10%,10%,10%,9%,>95%,>95%,48%,36%,14%,14%,18%,14%,2,4,3,9,1%,1%,2%,2%,1%,1%,<1%,0,19%,18%,17%,15%,1%,2%,<1%,1%,4%,4%,4%,4%,1%,2%,<1%,1%,74%,73%,77%,77%,,5%,,3%,,,,,2%,,7%,3%,,,,,,,,,,,,,98%,95%,93%,95%,$10223,$10692,$12929,$11822,44%,49%,7%,49.3,52.1,48.0,49.6,45.8,63.8,55.5,48.6,55.2,52.5,79.6,71.0,84.3,71.1,71.1,42.9,43.0,38.1,43.6,40.0,45.5,39.8,36.5,41.9,38.5,10.3,29.4,24.3,35.3,30.0,78.8,56.9,72.1,67.4,66.0,65.9,71.5,65.9,61.9,56.4,62.8,66.1,37.0,33.6,50.7,44.5,57.8,59.2,79.5,79.6,76.9,78.7,83.4,79.7,69.2,65.6,74.8,72.9,74.8,72.2,67.9,76.0,74.4,81.3,81.9,79.9,3.9,5.1,6.2,5.5,3.9,4.6,62.4,69.4,59.5,57.3,57.4,49.5
